col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018,col_019,col_020,col_021,col_022,col_023,col_024,col_025,col_026,col_027,col_028
2009,19540,7914,34815,26546,30009,1262,67621,980,4463,1371,44168,2009,315,3,188,-,9708,20217,,,,269118,,,,,
2010,25965,10276,37423,29903,34591,5328,76638,1530,5106,2310,53299,2010,311,52,193,-,13574,25745,,,,322243,,,,,
2011,31360,13765,41187,29472,35668,9358,82854,2120,6789,2336,67535,2011,300,53,276,-,15938,28774,,,,367784,,,,,
2012,44342,15009,42174,31109,38490,12164,84015,2247,8083,3966,86102,2012,451,74,395,12,25641,31120,,,,425397,,,,,
2013,51324,15308,38208,29868,35682,11580,79459,2164,7334,3224,88726,2013,445,785,378,856,23464,32295,,,,421099,,,,,
2014,54992,11570,38862,46290,49101,11039,80790,1393,6582,1549,78030,2014,309,696,904,4309,16808,40494,,,,443719,,,,,
2015,58698,8792,41659,56449,47163,6908,78401,842,4790,1043,59828,2015,270,470,3477,3239,11687,32604,,,,416320,,,,,
2016,52804,8758,45074,54968,48568,7470,87235,892,3862,886,51897,2016,228,395,2963,2551,11483,37042,,,,417076,,,,,
2017,65119,18188,45273,50864,45803,7918,109523,1057,4787,779,54361,2017,278,457,2914,2972,16970,20451,,,,447712,,,,,
2018,85836,28380,45870,51851,43948,10875,108093,1467,6237,1186,59303,2018,339,519,3078,4026,25192,30828,,,,507027,,,,,
2019,86873,26384,43576,49336,40887,10374,111501,1255,7893,2746,58457,2019,316,525,3166,2756,26011,27662,,,,499718,,,,,
2020,67014,21461,27514,48876,35952,7863,89572,1277,6686,4007,49101,2020,220,434,2313,2937,23112,26256,20031,1301,0,435925,,,,,
2021,95156,29432,42484,44040,41287,11244,104380,1422,9013,5396,64459,2021,260,554,3113,3900,26244,27843,34982,5518,2,550727,,,,,
2022,195128,52443,74263,51637,57469,21302,167364,3514,15558,8343,107934,2022,626,1219,5470,6139,36452,39475,37575,3409,63,885383,,,,,
2023,175419,52693,62059,55336,54089,17955,143262,3337,13819,8397,87116,2023,532,1161,4063,6563,29316,31445,29408,3880,158,780008,,,,,
2024,145472,38779,60611,66488,59569,15502,141419,4023,9971,8206,78200,2024,423,923,4338,7355,32189,31355,32888,0,218,737928,,,,,
2024.1,17295,4748,5809,4991,4395,1490,13752,184,1067,819,7114,2024.1,77,133,439,543,2850,3130,1199,0,12,70049,,,,,
2,12380,3485,4022,3927,3933,1197,10095,164,807,683,5646,2,52,95,327,427,2233,2432,2289,0,9,54204,,,,,
3,13441,3936,3660,4795,4485,1463,9819,280,924,737,6759,3,52,99,376,512,2053,2197,2315,0,18,57922,,,,,
4,9697,2335,4042,5916,4915,1290,9644,348,759,602,5572,4,21,62,268,449,1789,2258,1991,0,18,51978,,,,,
5,9585,1678,3649,6537,4840,1339,9334,312,619,710,5896,5,21,64,259,166,2508,2433,2363,0,29,52343,,,,,
6,10556,2304,4692,5349,4656,1118,10962,445,646,629,6939,6,21,59,273,402,2817,3125,1361,0,23,56374,,,,,
7,12737,2730,6599,6231,6038,1497,15741,562,958,805,8609,7,25,64,289,886,3379,4018,11839,0,15,83022,,,,,
8,15100,5786,7937,6248,6362,1528,18478,356,1066,846,9802,8,30,69,345,1001,3700,3711,1815,0,26,84206,,,,,
9,11174,4067,5528,6145,5338,1319,14977,318,862,744,7496,9,22,66,310,811,3059,3005,711,0,20,65972,,,,,
10,9071,1701,3804,4817,4216,1211,8833,274,746,420,4789,10,14,39,454,755,2621,1706,3285,0,16,48771,,,,,
11,10715,2341,4178,4788,4612,935,8172,320,669,442,4180,11,28,66,453,688,2336,1398,2223,0,16,48561,,,,,
12,13720,3667,6693,6743,5779,1114,11610,458,847,771,5397,12,61,107,545,715,2843,1943,1496,0,16,64527,,,,,
1) 지역 구분은 전력시장에 등록된 발전기의 소재지 기준으로 분류함,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2) 현재 기준 세종시 소재 발전기의 경우, 2012년 6월까지는 당시의 행정구역을 기준으로, 2012년 7월부터는 세종으로 분류함",,,,,,,,,,,,,,,,,,,,,,,,,,,
"3) 22년 전력시장통계 개정에 따라 2020년 이후 지역별 전력거래금액 산정 시 RPS의무이행비용, 배출권거래비용 및 예측제도 정산금을 별도로 분류함",,,,,,,,,,,,,,,,,,,,,,,,,,,
4-2. 회원사별 전력거래금액,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payment in Power Market by Members,,,,,,,,,,,,,,,,,,,,,,,,,,,
구분,A 회원사,,B 회원사,,C 회원사,,D 회원사,,E 회원사,,F 회원사,,기타,,합계,증감률(%),"[단위 : 억원, %]",,,,,,,,,,
,Member A,,Member B,,Member C,,Member D,,Member E,,Member F,,Others,,,,"[Unit : 100 Million Won, %]",,,,,,,,,,
,,비율(%),,비율(%),,비율(%),,비율(%),,비율(%),,비율(%),,비율(%),,,,,,,,,,,,,
,,Proportion(%),,Proportion(%),,Proportion(%),,Proportion(%),,Proportion(%),,Proportion(%),,Proportion(%),Total,Rate of Change(%),,,,,,,,,,,
2001,32430,34.1,11181,11.8,10167,10.7,14654,15.4,12955,13.6,13730,14.4,-,-,95117,,,,,,,,,,,,
2002,45987,34.8,14391,10.9,15881,12,20000,15.1,17724,13.4,18351,13.9,-,-,132334,39.1,,,,,,,,,,,
2003,50274,34.5,14462,9.9,17708,12.2,21114,14.5,20245,13.9,18564,12.7,3257,2.2,145623,10,,,,,,,,,,,
2004,50364,32.2,16445,10.5,18853,12.1,20370,13,27130,17.3,20048,12.8,3211,2.1,156422,7.4,,,,,,,,,,,
2005,55830,32.3,19977,11.6,22181,12.8,22023,12.8,28130,16.3,21151,12.3,3335,1.9,172626,10.4,,,,,,,,,,,
2006,55172,29.2,19633,10.4,24690,13.1,24046,12.7,32857,17.4,25013,13.2,7714,4.1,189125,9.6,,,,,,,,,,,
2007,55053,26,21402,10.1,27930,13.2,30880,14.6,37212,17.6,28615,13.5,10481,5,211572,11.9,,,,,,,,,,,
2008,57956,21.6,30968,11.6,35926,13.4,36715,13.7,46298,17.3,38748,14.5,21388,8,267999,26.7,,,,,,,,,,,
2009,51457,19.1,37188,13.8,37032,13.8,37949,14.1,46077,17.1,38165,14.2,21249,7.9,269118,0.4,,,,,,,,,,,
2010,58700,18.2,40955,12.7,47642,14.8,47386,14.7,51639,16,44352,13.8,31568,9.8,322243,19.7,,,,,,,,,,,
2011,65227,17.7,43083,11.7,49948,13.6,51864,14.1,58978,16,46976,12.8,51708,14.1,367784,14.1,,,,,,,,,,,
2012,66920,15.7,45310,10.7,54117,12.7,59350,14,69362,16.3,58345,13.7,71993,16.9,425397,15.7,,,,,,,,,,,
2013,62612,14.9,39937,9.5,56402,13.4,57307,13.6,71123,16.9,52641,12.5,81077,19.3,421099,-1,,,,,,,,,,,
2014,92251,20.8,44168,10,49832,11.2,48833,11,62692,14.1,44867,10.1,101076,22.8,443719,5.4,,,,,,,,,,,
2015,104959,25.2,49309,11.8,38795,9.3,42036,10.1,43513,10.5,40665,9.8,97043,23.3,416320,-6.2,,,,,,,,,,,
2016,111435,26.7,50485,12.1,37327,8.9,43229,10.4,43525,10.4,43178,10.4,87897,21.1,417076,0.2,,,,,,,,,,,
2017,92911,20.8,54033,12.1,46860,10.5,43535,9.7,45483,10.2,46272,10.3,118618,26.5,447712,7.3,,,,,,,,,,,
2018,88899,17.5,57975,11.4,43552,8.6,50214,9.9,57021,11.2,51580,10.2,157786,31.1,507027,13.2,,,,,,,,,,,
2019,88985,17.8,57223,11.5,47864,9.6,47033,9.4,51853,10.4,49240,9.9,157521,31.5,499718,-1.4,,,,,,,,,,,
2020,99454,22.8,42747,9.8,43717,10,37058,8.5,42074,9.7,42295,9.7,128579,29.5,435925,-12.8,,,,,,,,,,,
2021,95582,17.4,52799,9.6,56132,10.2,52368,9.5,59791,10.9,51293,9.3,182762,33.2,550727,26.3,,,,,,,,,,,
2022,106300,12,76453,8.6,90039,10.2,84012,9.5,95273,10.8,72347,8.2,360958,40.8,885383,60.8,,,,,,,,,,,
2023,110067,14.1,63598,8.2,76099,9.8,69452,8.9,76887,9.9,57213,7.3,326692,41.9,780008,-11.9,,,,,,,,,,,
2024,137367,18.6,50156,6.8,76152,10.3,60469,8.2,67149,9.1,55539,7.5,291096,39.4,737928,-5.4,,,,,,,,,,,
2024.1,9896,14.1,5289,7.6,7199,10.3,6086,8.7,5849,8.3,5373,7.7,30357,43.3,70049,-17.7,,,,,,,,,,,
2,8200,15.1,4061,7.5,6471,11.9,3873,7.1,4344,8,3805,7,23450,43.3,54204,-27.5,,,,,,,,,,,
3,8907,15.4,5556,9.6,5473,9.4,3606,6.2,4411,7.6,3658,6.3,26311,45.4,57922,-23.1,,,,,,,,,,,
4,11505,22.1,3452,6.6,4602,8.9,3583,6.9,3882,7.5,3232,6.2,21722,41.8,51978,-10.2,,,,,,,,,,,
5,12148,23.2,3956,7.6,5497,10.5,3812,7.3,3603,6.9,3184,6.1,20143,38.5,52343,-3.5,,,,,,,,,,,
6,11604,20.6,4164,7.4,5305,9.4,5081,9,5601,9.9,4252,7.5,20366,36.1,56374,1.7,,,,,,,,,,,
7,15929,19.2,2036,2.5,11256,13.6,8411,10.1,10537,12.7,7991,9.6,26862,32.4,83022,8.7,,,,,,,,,,,
8,14580,17.3,6560,7.8,8681,10.3,8286,9.8,8745,10.4,6914,8.2,30440,36.1,84206,13.9,,,,,,,,,,,
9,12751,19.3,4595,7,7109,10.8,6216,9.4,6009,9.1,5407,8.2,23884,36.2,65972,12.4,,,,,,,,,,,
10,9859,20.2,3019,6.2,3933,8.1,3981,8.2,4903,10.1,3438,7,19640,40.3,48771,-6,,,,,,,,,,,
11,9051,18.6,2883,5.9,5107,10.5,3265,6.7,3782,7.8,3579,7.4,20894,43,48561,-3.7,,,,,,,,,,,
12,12937,20,4585,7.1,5519,8.6,4270,6.6,5483,8.5,4705,7.3,27027,41.9,64527,-2.2,,,,,,,,,,,
4-3. 연료원별 전력거래금액,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payment in Power Market by Fuel Type,,,,,,,,,,,,,,,,,,,,,,,,,,,
구분,원자력,,석탄,,LNG,,유류,,양수,,신재생,,기타,,"RPS의무이행비용
정산금",,"배출권거래비용
정산금",,예측제도정산금,,합계,증감률(%),"[단위 : 억원, %]",,,,
,Nuclear Power,,Coal,,LNG,,Oil,,PSH,,Renewable,,Others,,Renewable Portfolio Standard Payment,,Emission Trading Settlement Payment,,Power Demand Forecasting Payment,,,,"[Unit : 100 Million Won, %]",,,,
,,비율(%),,비율(%),,비율(%),,비율(%),,비율(%),,비율(%),,비율(%),,비율(%),,비율(%),,비율(%),,,,,,,
,,Proportion(%),,Proportion(%),,Proportion(%),,Proportion(%),,Proportion(%),,Proportion(%),,Proportion(%),,Proportion(%),,Proportion(%),,Proportion(%),Total,Rate of Change(%),,,,,
2001,31926,33.6,35209,37,14957,15.7,11375,12,1147,1.2,504,0.5,-,-,,,,,,,95117,,,,,,
2002,45357,34.3,48934,37,23734,17.9,11950,9,1729,1.3,630,0.5,-,-,,,,,,,132334,39.1,,,,,
2003,49452,34,49769,34.2,28320,19.4,14517,10,1861,1.3,1705,1.2,-,-,,,,,,,145623,10,,,,,
2004,49456,31.6,51980,33.2,37000,23.7,14432,9.2,1652,1.1,1902,1.2,-,-,,,,,,,156422,7.4,,,,,
2005,54887,31.8,56800,32.9,42037,24.4,15368,8.9,1628,0.9,1906,1.1,-,-,,,,,,,172626,10.4,,,,,
2006,54190,28.7,52519,27.8,58758,31.1,17953,9.5,2381,1.3,3323,1.8,-,-,,,,,,,189125,9.6,,,,,
2007,53827,25.4,62370,29.5,68901,32.6,19587,9.3,2284,1.1,4605,2.2,-,-,,,,,,,211572,11.9,,,,,
2008,56291,21,89487,33.4,93644,34.9,17430,6.5,4880,1.8,6267,2.3,-,-,,,,,,,267999,26.7,,,,,
2009,50181,18.6,115675,43,74542,27.7,18949,7,4212,1.6,5558,2.1,-,-,,,,,,,269118,0.4,,,,,
2010,56207,17.4,119886,37.2,109074,33.8,21860,6.8,5621,1.7,9595,3,-,-,,,,,,,322243,19.7,,,,,
2011,57803,15.7,132380,36,136668,37.2,21608,5.9,5427,1.5,13899,3.8,-,-,,,,,,,367784,14.1,,,,,
2012,56736,13.3,130623,30.7,176799,41.6,36740,8.6,7774,1.8,16725,3.9,-,-,,,,,,,425397,15.7,,,,,
2013,51700,12.3,116370,27.6,192693,45.8,32716,7.8,8349,2,18684,4.4,-,-,587,0.1,,,,,421099,-1,,,,,
2014,81606,18.4,126941,28.6,184541,41.6,16805,3.8,8647,1.9,20267,4.6,2,0.0,4909,1.1,,,,,443719,5.4,,,,,
2015,98535,23.7,139916,33.6,134249,32.2,14137,3.4,4833,1.2,17833,4.3,14,0.0,6802,1.6,,,,,416320,-6.2,,,,,
2016,104789,25.1,153792,36.9,111044,26.6,14571,3.5,3842,0.9,17056,4.1,171,0.0,11811,2.8,,,,,417076,0.2,,,,,
2017,85723,19.1,180551,40.3,131286,29.3,9483,2.1,4494,1,20461,4.6,272,0.1,14631,3.3,813,0.2,,,447712,7.3,,,,,
2018,78910,15.6,188173,37.1,174366,34.4,11774,2.3,4887,1,25251,5,471,0.1,20571,4.1,2624,0.5,,,507027,13.2,,,,,
2019,80941,16.2,187927,37.6,164803,33,9177,1.8,4181,0.8,24585,4.9,2293,0.5,22422,4.5,3388,0.7,,,499718,-1.4,,,,,
2020,90956,20.9,152742,35,138963,31.9,4222,1,3680,0.8,17983,4.1,6048,1.4,20031,4.6,1301,0.3,0,0,435925,-12.8,,,,,
2021,84478,15.3,187187,34,198852,36.1,4483,0.8,5149,0.9,27448,5,2629,0.5,34982,6.4,5518,1,2,0,550727,26.3,,,,,
2022,87905,9.9,292070,33,381961,43.1,3755,0.4,10286,1.2,64501,7.3,3858,0.4,37575,4.2,3409,0.4,63,0,885383,60.8,,,,,
2023,94398,12.1,250334,32.1,328853,42.2,2210,0.3,9099,1.2,57792,7.4,3874,0.5,29408,3.8,3880,0.5,158,0,780008,-11.9,,,,,
2024,118919,16.1,231696,31.4,287510,39,513,0.1,9758,1.3,52817,7.2,3608,0.5,32888,4.5,0,0,218,0,737928,-5.4,,,,,
2024.1,8437,12,23407,33.4,31083,44.4,84,0.1,1016,1.4,4469,6.4,342,0.5,1199,1.7,0,0,12,0,70049,-17.7,,,,,
2,7151,13.2,17289,31.9,22884,42.2,50,0.1,763,1.4,3463,6.4,304,0.6,2289,4.2,0,0,9,0,54204,-27.5,,,,,
3,7776,13.4,16139,27.9,25571,44.1,43,0.1,970,1.7,4863,8.4,227,0.4,2315,4,0,0,18,0,57922,-23.1,,,,,
4,9522,18.3,15454,29.7,19462,37.4,21,0,788,1.5,4383,8.4,338,0.7,1991,3.8,0,0,18,0,51978,-10.2,,,,,
5,10548,20.2,13941,26.6,19599,37.4,18,0,831,1.6,4633,8.9,380,0.7,2363,4.5,0,0,29,0.1,52343,-3.5,,,,,
6,10228,18.1,17947,31.8,21404,38,22,0,661,1.2,4455,7.9,273,0.5,1361,2.4,0,0,23,0,56374,1.7,,,,,
7,12521,15.1,25042,30.2,27257,32.8,46,0.1,779,0.9,5205,6.3,318,0.4,11839,14.3,0,0,15,0,83022,8.7,,,,,
8,12706,15.1,31701,37.6,31187,37,89,0.1,910,1.1,5447,6.5,325,0.4,1815,2.2,0,0,26,0,84206,13.9,,,,,
9,11747,17.8,23756,36,24059,36.5,36,0.1,757,1.1,4596,7,290,0.4,711,1.1,0,0,20,0,65972,12.4,,,,,
10,8589,17.6,13248,27.2,18934,38.8,20,0,702,1.4,3746,7.7,232,0.5,3285,6.7,0,0,16,0,48771,-6,,,,,
11,8265,17,13420,27.6,20230,41.7,27,0.1,693,1.4,3419,7,268,0.6,2223,4.6,0,0,16,0,48561,-3.7,,,,,
12,11429,17.7,20352,31.5,25838,40,58,0.1,889,1.4,4137,6.4,312,0.5,1496,2.3,0,0,16,0,64527,-2.2,,,,,
4-4. 시간대별 전력거래금액,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payment in Power Market by Hour,,,,,,,,,,,,,,,,,,,,,,,,,,,
구분,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,구분,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,합계,[단위 : 억원]
,1 Hour,2 Hour,3 Hour,4 Hour,5 Hour,6 Hour,7 Hour,8 Hour,9 Hour,10 Hour,11 Hour,12 Hour,,13 Hour,14 Hour,15 Hour,16 Hour,17 Hour,18 Hour,19 Hour,20 Hour,21 Hour,22 Hour,23 Hour,24 Hour,Total,[Unit : 100 Million Won]
2001,3788,3545,3391,3266,3209,3237,3338,3489,3756,4075,4158,4184,2001,3981,4126,4175,4142,4140,4142,4171,4203,4183,4164,4290,5965,95117,
2002,5176,4850,4616,4463,4384,4413,4530,4702,4979,5708,5936,5827,2002,5152,5702,5795,5757,5756,5770,6000,6020,5848,5857,6059,9036,132334,
2003,3772,3379,3165,2943,2889,2942,3119,3327,3689,7292,8513,7982,2003,5494,7278,7935,7874,7872,7333,8014,8059,7538,7442,8127,9646,145623,
2004,4165,3817,3582,3428,3390,3438,3606,3831,4116,7668,8909,8397,2004,5892,7662,8347,8284,8295,7757,8435,8471,7960,7849,8608,10513,156422,
2005,4629,4227,3991,3833,3782,3825,3997,4262,4620,8473,9825,9294,2005,6587,8499,9235,9177,9182,8622,9338,9392,8783,8656,9496,10899,172626,
2006,5022,4459,4167,4020,4021,4146,4383,4664,5156,9323,10740,10184,2006,7145,9247,10093,9975,9989,9405,10140,10268,9557,9379,10400,13241,189125,
2007,7973,6719,6330,6147,6192,6417,6783,7117,7687,9582,9835,10165,2007,8620,9076,9992,9726,9592,9513,9815,9916,9866,9673,9944,14894,211572,
2008,9892,8203,7625,7380,7517,7901,8559,9128,10262,12685,13247,13757,2008,11354,12375,13472,13063,12916,12762,13010,13140,12953,12438,12616,11743,267999,
2009,10198,8500,8002,7805,8026,8441,9050,9462,10459,12671,13129,13550,2009,11309,12208,13217,12857,12663,12528,12841,12846,12634,12295,12600,11825,269118,
2010,11626,9794,9393,8979,9214,9682,10361,10989,12553,15612,16375,16835,2010,13491,15004,16489,15756,15624,15422,15707,15616,15068,14440,14545,13667,322243,
2011,13394,11735,11305,11083,11285,11696,12499,13261,14882,17338,17790,18450,2011,15527,17128,18201,17817,17644,17145,17372,17358,16981,16262,16295,15337,367784,
2012,15125,13335,13018,12863,13064,13443,14165,15201,17736,20479,20989,21276,2012,18198,20014,21065,20664,20434,19929,20189,20106,19500,18546,18452,17606,425397,
2013,14954,13300,13021,12949,13093,13411,14064,14952,17282,20296,20586,20689,2013,18192,19587,20684,20383,20161,19894,20160,20028,19553,18697,18231,16932,421099,
2014,16231,14776,14393,14164,14356,14726,15493,16425,18356,21006,21253,21342,2014,18972,20227,21231,20968,20819,20560,20817,20712,20264,19520,19143,17965,443719,
2015,14599,13521,12905,12615,12859,13421,14405,15692,18262,19974,20404,20194,2015,18035,19550,20079,19809,19991,19782,19966,19867,18970,17662,17005,16749,416320,
2016,14841,13826,13338,13178,13411,13897,14843,15968,18261,19783,20170,19991,2016,17899,19430,19930,19745,19915,19752,19802,19578,18675,17442,16745,16657,417076,
2017,15828,14703,14269,14080,14407,15011,16134,17526,19867,21243,21645,21426,2017,19186,20857,21422,21259,21517,21318,21120,20809,19825,18565,17861,17835,447712,
2018,17906,16864,16460,16297,16565,17202,18244,19741,22544,23982,24357,24054,2018,21687,23488,24121,24042,24438,24256,23992,23505,22285,20900,20087,20010,507027,
2019,17583,16625,16226,16083,16386,17025,17976,19481,22480,23700,23835,23482,2019,21201,22951,23626,23674,24208,24059,23756,23323,22054,20642,19742,19598,499718,
2020,14897,14081,13734,13585,13840,14425,15200,16759,19798,20853,20838,20441,2020,18455,20011,20739,20923,21613,21523,21199,20929,19809,18271,17125,16877,435925,
2021,19269,18410,17998,17776,18088,18906,20028,21750,25032,25852,25646,25049,2021,23026,24832,25906,26394,27331,27264,26681,25925,24382,22697,21306,21180,550727,
2022,31152,29137,27943,27503,28184,29827,31982,35267,40241,41419,40706,39405,2022,36824,39249,41026,42291,44109,44555,44068,42912,40465,37580,35156,34380,885383,
2023,27651,24807,23669,23312,23819,25305,27430,30967,35085,36339,36023,34895,2023,33108,34753,36046,37017,37852,38461,38965,38663,36960,34605,32854,31424,780008,
2024,25333,21974,20849,20395,20919,22342,24849,28760,33399,35612,34920,33786,2024,31880,33851,35143,36133,36892,37195,37679,37359,35468,32808,31016,29366,737928,
2024.1,2406,1995,1904,1868,1945,2103,2421,2906,3419,3855,3560,3351,2024.1,3085,3188,3261,3344,3383,3427,3432,3335,3167,2940,2856,2883,70034,
2,1885,1578,1487,1462,1520,1666,1942,2255,2709,2896,2748,2615,2,2311,2470,2543,2556,2589,2583,2633,2559,2418,2305,2237,2226,54192,
3,2124,1876,1776,1754,1829,1982,2243,2530,2813,2873,2647,2419,3,2168,2295,2368,2465,2598,2745,2945,2966,2834,2649,2538,2474,57910,
4,1889,1711,1603,1564,1628,1765,1933,2083,2354,2407,2284,2132,4,1956,2133,2222,2319,2392,2507,2690,2815,2613,2411,2352,2205,51967,
5,1912,1730,1656,1584,1641,1745,1818,1900,2103,2237,2234,2161,5,2119,2214,2370,2425,2629,2638,2724,2820,2675,2457,2343,2224,52357,
6,1929,1684,1581,1521,1543,1582,1711,1934,2318,2507,2640,2600,6,2512,2723,2913,2885,2979,2928,2911,2906,2866,2642,2392,2173,56382,
7,2792,2330,2213,2177,2197,2261,2556,3169,3612,3905,3979,4033,7,3913,4081,4208,4216,4182,4123,4110,4100,4048,3830,3630,3361,83027,
8,2792,2430,2261,2188,2181,2318,2500,3099,3496,3783,3964,4038,8,3997,4312,4365,4478,4347,4314,4310,4276,4082,3853,3567,3257,84208,
9,2214,1910,1835,1797,1811,1880,2065,2366,2747,3032,3062,3045,9,3010,3184,3307,3475,3447,3461,3489,3452,3273,2996,2724,2417,66000,
10,1620,1495,1454,1441,1478,1567,1676,1821,2157,2228,2190,2134,10,2027,2167,2286,2372,2561,2638,2700,2604,2353,2064,1945,1802,48782,
11,1644,1446,1398,1388,1431,1559,1725,1962,2415,2414,2302,2131,11,1915,2105,2245,2407,2569,2589,2558,2453,2236,1981,1854,1823,48551,
12,2126,1789,1682,1651,1714,1915,2258,2737,3255,3475,3312,3128,12,2867,2978,3056,3192,3216,3240,3176,3072,2902,2678,2577,2521,64518,
1) 시간대별 거래금액은 소수점 없이 반올림한 수치로 1시~24시의 합산값이 합계(Total)과 동일하지 않을 수 있습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,
