col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018,col_019,col_020,col_021,col_022,col_023,col_024,col_025,col_026,col_027,col_028,col_029,col_030,col_031,col_032,col_033
2015,1067840,6.1,-,-,1533113,8.7,1335915,7.6,9453745,53.6,61398,0.3,537761,3,2106966,11.9,496354,2.8,305096,1.7,246513,1.4,-,-,489786,2.8,-,-,17634487,6.9,2015,
2016,1120558,5.8,298468,1.5,1806868,9.3,1673879,8.6,9271571,47.9,66595,0.3,437448,2.3,2756905,14.2,495456,2.6,320953,1.7,237925,1.2,-,-,882786,4.6,-,-,19369412,9.8,2016,
2017,1443611,6.4,961604,4.3,2461679,10.9,2161585,9.6,9468612,41.9,-,-,498126,2.2,2772598,12.3,489466,2.2,371805,1.6,253135,1.1,-,-,1722148,7.6,-,-,22604370,16.7,2017,
2018,1725550,6.7,1284959,5,3063970,12,2456371,9.6,9774544,38.2,-,-,702288,2.7,3327181,13,485353,1.9,357578,1.4,238615,0.9,-,-,2190478,8.6,-,-,25606886,13.3,2018,
2019,2227854,9.1,780761,3.2,3849797,15.7,2672358,10.9,7145578,29.1,-,-,562185,2.3,2739048,11.1,474327,1.9,386320,1.6,233890,1,1096047,4.5,2424123,9.9,-,-,24592287,-4,2019,
2020,3430502,15.3,1836128,8.2,5079673,22.7,3134386,14,-,-,-,-,-,-,3810574,17,457257,2,352115,1.6,177625,0.8,1247271,5.6,2874849,12.8,-,-,22400380,-8.9,2020,
2021,4663106,18.1,1677707,6.5,6390374,24.8,3166089,12.3,-,-,-,-,-,-,2995938,11.6,454968,1.8,356863,1.4,183734,0.7,1284819,5,4619327,17.9,0,0,25792926,15.1,2021,
2022,5268707,16.8,1505741,4.8,8361847,26.7,3351552,10.7,-,-,-,-,-,-,3487852,11.1,423840,1.4,351295,1.1,203336,0.6,1463142,4.7,6929556,22.1,0,0,31346868,21.5,2022,
2023,6093784,18.1,767053,2.3,9685711,28.7,3373126,10,,,,,,,3661114,10.9,437538,1.3,286006,0.8,215747,0.6,1536136,4.6,7655402,22.7,2633,0,33714251,7.6,2023,
2024,7385434,19.4,1574218,4.1,11127027,29.2,3659571,9.6,,,,,,,4244568,11.2,319670,0.8,279117,0.7,177735,0.5,1366698,3.6,7902132,20.8,24140,0.1,38060311,12.9,2024,
2024.1,614359,20.9,196904,6.7,654463,22.2,397151,13.5,-,-,-,-,-,-,216411,7.4,35217,1.2,26026,0.9,19107,0.6,126641,4.3,654039,22.2,2982,0.1,2943300,7.3,2024.1,
2,571863,21.2,182075,6.8,575949,21.4,287217,10.7,-,-,-,-,-,-,244013,9.1,34797,1.3,26868,1,17497,0.6,89739,3.3,660973,24.5,2022,0.1,2693015,13.3,2,
3,620438,18.2,178764,5.3,1023324,30.1,389927,11.5,-,-,-,-,-,-,281355,8.3,37753,1.1,30220,0.9,13530,0.4,137651,4,684997,20.1,2425,0.1,3400385,21,3,
4,605785,18.4,51917,1.6,1032515,31.4,204459,6.2,-,-,-,-,-,-,568679,17.3,35557,1.1,13098,0.4,18768,0.6,100288,3.1,653056,19.9,1165,0,3285287,22.5,4,
5,620084,17.7,0,0,1328560,37.9,314024,9,-,-,-,-,-,-,512596,14.6,35873,1,11550,0.3,17920,0.5,51993,1.5,610577,17.4,1374,0,3504552,30.2,5,
6,603194,18.3,98701,3,1173355,35.7,162419,4.9,-,-,-,-,-,-,466114,14.2,34064,1,27603,0.8,6919,0.2,77269,2.3,637482,19.4,2342,0.1,3289461,21.7,6,
7,626585,17.4,150474,4.2,903290,25,384627,10.7,-,-,-,-,-,-,628991,17.4,33998,0.9,27479,0.8,14844,0.4,123668,3.4,713602,19.8,1677,0,3609236,15.4,7,
8,617347,18,158331,4.6,1188747,34.7,145008,4.2,-,-,-,-,-,-,389937,11.4,34475,1,25506,0.7,11455,0.3,161948,4.7,690995,20.2,2405,0.1,3426154,9.4,8,
9,588159,19.3,149051,4.9,992641,32.5,167535,5.5,-,-,-,-,-,-,295793,9.7,37935,1.2,18750,0.6,12395,0.4,140575,4.6,647216,21.2,1602,0.1,3051651,6.4,9,
10,627998,21.7,147126,5.1,804802,27.9,261746,9.1,-,-,-,-,-,-,231853,8,0,0,17490,0.6,11494,0.4,125840,4.4,657057,22.8,2113,0.1,2887518,2,10,
11,624227,22.5,89212,3.2,741347,26.8,357875,12.9,-,-,-,-,-,-,198772,7.2,0,0,26953,1,16711,0.6,113810,4.1,597957,21.6,1508,0.1,2768374,-4.7,11,
12,665394,20.8,171664,5.4,708033,22.1,587583,18.4,-,-,-,-,-,-,210055,6.6,0,0,27574,0.9,17096,0.5,117276,3.7,694181,21.7,2525,0.1,3201379,12.6,12,
