col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018,col_019,col_020,col_021,col_022,col_023,col_024,col_025,col_026,col_027,col_028,col_029,col_030,col_031,col_032,col_033,col_034,col_035,col_036,col_037,col_038,col_039,col_040,col_041,col_042,col_043,col_044,col_045,col_046,col_047,col_048,col_049,col_050,col_051,col_052,col_053,col_054,col_055,col_056,col_057,col_058,col_059,col_060,col_061,col_062,col_063,col_064,col_065,col_066,col_067,col_068,col_069,col_070,col_071,col_072,col_073,col_074,col_075,col_076,col_077,col_078,col_079,col_080,col_081,col_082,col_083,col_084,col_085,col_086,col_087,col_088,col_089,col_090,col_091,col_092,col_093,col_094,col_095,col_096,col_097,col_098,col_099,col_100,col_101,col_102,col_103,col_104,col_105,col_106,col_107,col_108,col_109,col_110,col_111,col_112,col_113,col_114,col_115,col_116,col_117,col_118,col_119,col_120,col_121,col_122,col_123,col_124,col_125,col_126,col_127,col_128,col_129,col_130,col_131,col_132,col_133,col_134,col_135,col_136,col_137,col_138,col_139,col_140,col_141,col_142,col_143,col_144,col_145,col_146,col_147,col_148,col_149,col_150,col_151,col_152,col_153,col_154,col_155,col_156,col_157,col_158,col_159,col_160,col_161,col_162,col_163,col_164,col_165,col_166,col_167,col_168
,,,제약발전,제약비발전,변동비보전정산금,기대이익정산금,,,,,,,,,,,제약발전,제약비발전,변동비보전정산금,기대이익정산금,,,,,,,,,,,제약발전,제약비발전,변동비보전정산금,기대이익정산금,,,,,,,,,,,제약발전,제약비발전,변동비보전정산금,기대이익정산금,,,,,,,,,,,제약발전,제약비발전,변동비보전정산금,기대이익정산금,,,,,,,,,,,제약발전,제약비발전,변동비보전정산금,기대이익정산금,,,,,,,,,,,제약발전,제약비발전,변동비보전정산금,기대이익정산금,,,,,,,,,,,제약발전,제약비발전,변동비보전정산금,기대이익정산금,,,,,,,,,,,제약발전,제약비발전,변동비보전정산금,기대이익정산금,,,,,,,,,,,제약발전,제약비발전,변동비보전정산금,기대이익정산금,,,,,,,,,,,제약발전,제약비발전,변동비보전정산금,기대이익정산금,,,,,,,,,,,제약발전,제약비발전,변동비보전정산금,기대이익정산금,,,,,,,
,,Electricity Payment,Constrained-On Energy Payment,Constrained-Off Energy Payment,Varialbe Cost Compensation Payment,Expected Profits Payment,Other Payments,Capacity Payment,Emergency Capacity Reserve Payment,Ancillary Service Payment,Total,Unit Price of Settlement,,,,Electricity Payment,Constrained-On Energy Payment,Constrained-Off Energy Payment,Varialbe Cost Compensation Payment,Expected Profits Payment,Other Payments,Capacity Payment,Emergency Capacity Reserve Payment,Ancillary Service Payment,Total,Unit Price of Settlement,,,,Electricity Payment,Constrained-On Energy Payment,Constrained-Off Energy Payment,Varialbe Cost Compensation Payment,Expected Profits Payment,Other Payments,Capacity Payment,Emergency Capacity Reserve Payment,Ancillary Service Payment,Total,Unit Price of Settlement,,,,Electricity Payment,Constrained-On Energy Payment,Constrained-Off Energy Payment,Varialbe Cost Compensation Payment,Expected Profits Payment,Other Payments,Capacity Payment,Emergency Capacity Reserve Payment,Ancillary Service Payment,Total,Unit Price of Settlement,,,,Electricity Payment,Constrained-On Energy Payment,Constrained-Off Energy Payment,Varialbe Cost Compensation Payment,Expected Profits Payment,Other Payments,Capacity Payment,Emergency Capacity Reserve Payment,Ancillary Service Payment,Total,Unit Price of Settlement,,,,Electricity Payment,Constrained-On Energy Payment,Constrained-Off Energy Payment,Varialbe Cost Compensation Payment,Expected Profits Payment,Other Payments,Capacity Payment,Emergency Capacity Reserve Payment,Ancillary Service Payment,Total,Unit Price of Settlement,,,,Electricity Payment,Constrained-On Energy Payment,Constrained-Off Energy Payment,Varialbe Cost Compensation Payment,Expected Profits Payment,Other Payments,Capacity Payment,Emergency Capacity Reserve Payment,Ancillary Service Payment,Total,Unit Price of Settlement,,,,Electricity Payment,Constrained-On Energy Payment,Constrained-Off Energy Payment,Varialbe Cost Compensation Payment,Expected Profits Payment,Other Payments,Capacity Payment,Emergency Capacity Reserve Payment,Ancillary Service Payment,Total,Unit Price of Settlement,,,,Electricity Payment,Constrained-On Energy Payment,Constrained-Off Energy Payment,Varialbe Cost Compensation Payment,Expected Profits Payment,Other Payments,Capacity Payment,Emergency Capacity Reserve Payment,Ancillary Service Payment,Total,Unit Price of Settlement,,,,Electricity Payment,Constrained-On Energy Payment,Constrained-Off Energy Payment,Varialbe Cost Compensation Payment,Expected Profits Payment,Other Payments,Capacity Payment,Emergency Capacity Reserve Payment,Ancillary Service Payment,Total,Unit Price of Settlement,,,,Electricity Payment,Constrained-On Energy Payment,Constrained-Off Energy Payment,Varialbe Cost Compensation Payment,Expected Profits Payment,Other Payments,Capacity Payment,Emergency Capacity Reserve Payment,Ancillary Service Payment,Total,Unit Price of Settlement,,,,Electricity Payment,Constrained-On Energy Payment,Constrained-Off Energy Payment,Varialbe Cost Compensation Payment,Expected Profits Payment,Other Payments,Capacity Payment,Emergency Capacity Reserve Payment,Ancillary Service Payment,Total,Unit Price of Settlement,
,,(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(원/kWh),,,,(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(원/kWh),,,,(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(원/kWh),,,,(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(원/kWh),,,,(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(원/kWh),,,,(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(원/kWh),,,,(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(원/kWh),,,,(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(원/kWh),,,,(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(원/kWh),,,,(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(원/kWh),,,,(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(원/kWh),,,,(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(원/kWh),
,,(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(Won/kWh),,,,(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(Won/kWh),,,,(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(Won/kWh),,,,(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(Won/kWh),,,,(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(Won/kWh),,,,(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(Won/kWh),,,,(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(Won/kWh),,,,(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(Won/kWh),,,,(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(Won/kWh),,,,(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(Won/kWh),,,,(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(Won/kWh),,,,(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(Won/kWh),
원자력,Nuclear Power,6553,0,0,0,77,0,1808,0,0,8437,59.35,,원자력,Nuclear Power,5643,0,0,2,0,0,1506,0,0,7151,51.05,,원자력,Nuclear Power,6697,0,0,0,0,0,1079,0,0,7776,52.42,,원자력,Nuclear Power,8795,0,0,0,0,0,727,0,0,9522,68.45,,원자력,Nuclear Power,9683,0,0,0,21,0,844,0,0,10548,69.2,,원자력,Nuclear Power,9025,0,0,0,7,0,1197,0,0,10228,71.42,,원자력,Nuclear Power,10476,0,0,0,1,0,2044,0,0,12521,79.92,,원자력,Nuclear Power,10862,0,0,0,20,0,1823,0,0,12706,86.21,,원자력,Nuclear Power,10438,0,0,0,0,0,1308,0,0,11747,78.02,,원자력,Nuclear Power,7587,0,0,0,0,0,1002,0,0,8589,52.98,,원자력,Nuclear Power,6914,0,0,3,1,0,1347,0,0,8265,53.88,,원자력,Nuclear Power,9303,0,0,0,0,0,2125,0,0,11429,71.94,
유연탄,Flaming Coal,18656,0,0,9,999,107,3228,10,54,23063,134.63,,유연탄,Flaming Coal,13815,0,0,34,777,86,2346,18,44,17119,122.45,,유연탄,Flaming Coal,13489,0,0,7,806,76,1376,120,104,15979,130.62,,유연탄,Flaming Coal,13352,0,0,12,956,65,819,0,101,15304,141.65,,유연탄,Flaming Coal,11770,0,0,13,949,56,835,0,98,13720,144.45,,유연탄,Flaming Coal,14675,0,0,6,1233,83,1579,0,136,17713,148.35,,유연탄,Flaming Coal,20067,0,0,9,1425,77,3077,0,159,24814,161.61,,유연탄,Flaming Coal,26138,0,0,1,1933,79,3006,0,194,31351,172.09,,유연탄,Flaming Coal,19633,0,0,2,1785,81,1870,0,123,23493,164.43,,유연탄,Flaming Coal,10939,0,0,18,789,101,1285,0,86,13218,119.45,,유연탄,Flaming Coal,10617,0,0,18,686,87,1794,0,86,13287,120.39,,유연탄,Flaming Coal,15548,0,0,71,1073,101,3182,10,117,20102,142.97,
무연탄,Anthracite,301,0,0,0,12,1,30,0,0,344,147.98,,무연탄,Anthracite,140,0,0,0,7,1,14,8,0,170,136.83,,무연탄,Anthracite,138,0,0,0,10,1,9,1,0,159,151.11,,무연탄,Anthracite,136,0,0,3,2,1,7,0,0,150,136.93,,무연탄,Anthracite,201,0,0,4,3,1,11,0,0,220,134.29,,무연탄,Anthracite,210,0,0,3,1,1,18,0,0,234,134.68,,무연탄,Anthracite,203,0,0,2,1,1,21,0,0,228,143.11,,무연탄,Anthracite,301,0,0,0,19,2,28,0,0,350,162.47,,무연탄,Anthracite,237,0,0,0,6,1,19,0,0,263,149.27,,무연탄,Anthracite,27,0,0,0,1,0,3,0,0,30,131.36,,무연탄,Anthracite,121,0,0,1,0,1,10,0,0,133,120.81,,무연탄,Anthracite,213,0,0,0,10,1,26,0,0,250,132.84,
LNG,LNG,22478,0,0,2650,384,596,4861,0,114,31083,198.28,,LNG,LNG,15849,0,0,2533,265,522,3598,0,118,22884,179,,LNG,LNG,19796,0,0,1904,479,483,2462,0,447,25571,177.76,,LNG,LNG,15018,0,0,1457,447,493,1609,0,437,19462,167,,LNG,LNG,15385,0,0,1309,372,468,1605,0,460,19599,163.61,,LNG,LNG,16496,0,0,1302,368,429,2322,0,486,21404,167.7,,LNG,LNG,20611,0,0,1015,440,474,4246,0,471,27257,181.56,,LNG,LNG,25102,0,0,783,444,465,4001,0,391,31187,186.85,,LNG,LNG,19339,0,0,1071,336,502,2521,0,290,24059,178.03,,LNG,LNG,14350,0,0,1763,254,489,1758,0,319,18934,159.62,,LNG,LNG,14754,0,0,1681,204,472,2839,0,280,20230,158.39,,LNG,LNG,17870,0,0,1750,349,460,5135,0,273,25838,175.12,
중유,Heavy Fuel Oil,33,0,0,8,0,0,14,0,0,55,228.86,,중유,Heavy Fuel Oil,15,0,0,3,0,0,11,0,0,29,225.54,,중유,Heavy Fuel Oil,18,0,0,5,0,0,7,0,0,30,228.42,,중유,Heavy Fuel Oil,7,0,0,1,0,0,3,0,0,11,187.7,,중유,Heavy Fuel Oil,5,0,0,0,0,0,2,0,0,8,173.78,,중유,Heavy Fuel Oil,5,0,0,0,0,0,3,0,0,8,210,,중유,Heavy Fuel Oil,5,0,0,0,0,0,5,0,0,10,256.48,,중유,Heavy Fuel Oil,8,0,0,2,0,1,4,0,0,15,288.73,,중유,Heavy Fuel Oil,6,0,0,1,0,0,3,0,0,11,242.75,,중유,Heavy Fuel Oil,1,0,0,0,0,0,2,0,0,3,271.44,,중유,Heavy Fuel Oil,4,0,0,0,0,0,3,0,0,7,188.89,,중유,Heavy Fuel Oil,19,0,0,2,0,0,5,0,0,26,156.24,
경유,Light Fuel Oil,0,0,0,0,0,0,28,0,1,28,0,,경유,Light Fuel Oil,0,0,0,0,0,0,21,0,1,22,0,,경유,Light Fuel Oil,0,0,0,0,0,0,13,0,1,13,0,,경유,Light Fuel Oil,0,0,0,0,0,0,10,0,0,10,0,,경유,Light Fuel Oil,0,0,0,0,0,0,10,0,0,11,0,,경유,Light Fuel Oil,0,0,0,0,0,0,14,0,0,15,0,,경유,Light Fuel Oil,3,0,0,4,0,2,26,0,1,36,2134.52,,경유,Light Fuel Oil,18,0,0,25,0,5,25,0,1,73,679.66,,경유,Light Fuel Oil,3,0,0,4,0,1,16,0,0,25,1321.01,,경유,Light Fuel Oil,3,0,0,0,0,0,13,0,1,17,785.25,,경유,Light Fuel Oil,0,0,0,0,0,0,19,0,1,19,0,,경유,Light Fuel Oil,0,0,0,0,0,0,31,0,1,31,0,
양수,PSH,674,0,0,0,0,0,328,0,14,1016,271.53,,양수,PSH,530,0,0,0,0,0,220,0,13,763,217.96,,양수,PSH,750,0,0,0,0,0,190,0,30,970,208.94,,양수,PSH,642,0,0,0,0,0,119,0,26,788,185.66,,양수,PSH,690,0,0,0,0,0,119,0,22,831,179.19,,양수,PSH,516,0,0,0,0,0,126,0,18,661,190.07,,양수,PSH,546,0,0,0,0,0,213,0,21,779,226.5,,양수,PSH,634,0,0,0,0,0,251,0,25,910,245.09,,양수,PSH,565,0,0,0,0,0,171,0,21,757,215.07,,양수,PSH,561,0,0,0,0,0,120,0,21,702,173.39,,양수,PSH,493,0,0,0,0,0,180,0,19,693,186.04,,양수,PSH,585,0,0,0,0,0,281,0,23,889,221.77,
연료전지,Fuel Cell,821,0,0,0,0,0,0,0,0,821,133.62,,연료전지,Fuel Cell,658,0,0,0,0,0,0,0,0,658,115.13,,연료전지,Fuel Cell,820,0,0,0,0,0,0,0,0,820,132.19,,연료전지,Fuel Cell,751,0,0,0,0,0,0,0,0,751,123.92,,연료전지,Fuel Cell,774,0,0,0,0,0,0,0,0,774,124.84,,연료전지,Fuel Cell,747,0,0,0,0,0,0,0,0,747,123.9,,연료전지,Fuel Cell,816,0,0,0,0,0,0,0,0,816,130.2,,연료전지,Fuel Cell,888,0,0,0,0,0,0,0,0,888,143.77,,연료전지,Fuel Cell,802,0,0,0,0,0,0,0,0,802,136.42,,연료전지,Fuel Cell,723,0,0,0,0,0,0,0,0,723,115.19,,연료전지,Fuel Cell,690,0,0,0,0,0,0,0,0,690,110.49,,연료전지,Fuel Cell,759,0,0,0,0,0,0,0,0,759,114.1,
IGCC,IGCC,260,0,0,0,4,0,27,0,0,291,147.8,,IGCC,IGCC,208,0,0,1,3,0,21,0,0,233,128.17,,IGCC,IGCC,237,0,0,0,12,0,16,0,0,266,148.61,,IGCC,IGCC,66,0,0,0,6,0,3,0,0,76,146.32,,IGCC,IGCC,0,0,0,0,0,0,0,0,0,0,0,,IGCC,IGCC,122,0,0,0,3,0,9,0,1,134,136.23,,IGCC,IGCC,192,0,0,0,6,0,20,0,0,218,144.91,,IGCC,IGCC,225,0,0,0,31,0,23,0,1,281,177.56,,IGCC,IGCC,202,0,0,0,32,0,16,0,1,251,168.59,,IGCC,IGCC,168,0,0,0,15,0,10,0,1,194,131.71,,IGCC,IGCC,97,0,0,0,7,0,8,0,0,113,126.47,,IGCC,IGCC,194,0,0,0,20,1,26,0,1,242,141.15,
태양광,Photovoltaic,995,0,0,0,0,0,0,0,0,995,152.11,,태양광,Photovoltaic,697,0,0,0,0,0,0,0,0,697,121.03,,태양광,Photovoltaic,1340,0,0,0,0,0,0,0,0,1340,130.94,,태양광,Photovoltaic,1296,0,0,0,0,0,0,0,0,1296,125.52,,태양광,Photovoltaic,1766,0,0,0,0,0,0,0,0,1766,132.95,,태양광,Photovoltaic,1588,0,0,0,0,0,1,0,0,1589,135.44,,태양광,Photovoltaic,1297,0,0,0,0,0,1,0,0,1298,143.66,,태양광,Photovoltaic,1835,0,0,0,0,0,1,0,0,1837,154.51,,태양광,Photovoltaic,1447,0,0,0,0,0,1,0,0,1448,145.87,,태양광,Photovoltaic,1021,0,0,0,0,0,1,0,0,1022,126.96,,태양광,Photovoltaic,872,0,0,0,0,0,1,0,0,873,117.8,,태양광,Photovoltaic,927,0,0,0,0,0,1,0,0,927,130.98,
풍력,Wind,538,0,0,0,0,0,0,0,0,538,135.39,,풍력,Wind,330,0,0,0,0,0,0,0,0,330,114.76,,풍력,Wind,511,0,0,0,0,0,0,0,0,511,131.08,,풍력,Wind,261,0,0,0,0,0,0,0,0,261,127.71,,풍력,Wind,383,0,0,0,0,0,0,0,0,383,121.92,,풍력,Wind,199,0,0,0,0,0,3,0,0,202,124.59,,풍력,Wind,502,0,0,0,0,0,6,0,0,507,131.92,,풍력,Wind,209,0,0,0,0,0,2,0,0,211,145.83,,풍력,Wind,230,0,0,0,0,0,3,0,0,233,139.07,,풍력,Wind,305,0,0,0,1,0,5,0,0,310,118.41,,풍력,Wind,401,0,0,0,0,0,7,0,0,408,113.98,,풍력,Wind,655,0,0,0,0,0,9,0,0,664,112.95,
수력,Hydro,332,0,0,0,0,0,23,0,1,356,164.56,,수력,Hydro,321,0,0,0,0,0,21,0,1,343,140.75,,수력,Hydro,400,0,0,0,0,0,22,0,5,427,151.71,,수력,Hydro,724,0,0,0,0,0,29,0,5,757,133.16,,수력,Hydro,660,0,0,0,0,0,27,0,5,692,135.09,,수력,Hydro,601,0,0,0,0,0,39,0,7,648,138.92,,수력,Hydro,850,0,0,0,0,0,71,0,4,926,147.18,,수력,Hydro,591,0,0,0,0,0,41,0,4,637,163.33,,수력,Hydro,433,0,0,0,0,0,22,0,3,457,154.6,,수력,Hydro,290,0,0,0,0,0,16,0,3,309,133.07,,수력,Hydro,238,0,0,0,0,0,18,0,2,258,129.61,,수력,Hydro,271,0,0,0,0,0,25,0,3,299,142.22,
