col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018,col_019,col_020,col_021
5. 정산단가,,,,,,,,,,,,,,,,,,,,
Unit Price of Settlement,,,,,,,,,,,,,,,,,,,,
5-1. 지역별 정산단가,,,,,,,,,,,,,,,,,,,,
Unit Price of Settlement by Region,,,,,,,,,,,,,,,,,,,,
구분,경기,강원,경남,경북,전남,전북,충남,충북,제주,구분,서울,인천,대전,광주,대구,세종,울산,부산,전국,[단위 : 원/kWh]
,Gyeonggi,Gangwon,Gyeongnam,Gyeongbuk,Jeonnam,Jeonbuk,Chungnam,Chungbuk,Jeju,,Seoul,Incheon,Daejeon,Gwangju,Daegu,Sejong,Ulsan,Busan,Average,[Unit : Won/kWh]
2001,77.04,58.13,42.99,39.67,42.12,69.21,42.87,48.87,84.13,2001,88.59,78.78,,,,,81.45,39.63,47.85,
2002,75.67,50.06,44.01,39.99,40.47,69.07,44.46,47.42,80.27,2002,77.75,68.45,,,,,77.49,40.07,47.14,
2003,78.18,52.53,44.45,39.71,40.75,68.6,46.16,76.13,121.22,2003,84.3,75.22,69.88,,69.83,,85.45,42.7,48.64,
2004,81.46,55.64,44.2,39.34,41.87,80.56,46.69,77.44,118.95,2004,85.24,66.54,75.8,,74.07,,83.07,49.39,49.2,
2005,87.51,59.65,45.64,39.16,41.6,84.53,48.99,81.07,130.57,2005,94.23,69.38,86.44,,81.15,,94.32,51.11,50.96,
2006,106.43,66.61,41.45,38.74,43.85,102.15,45.05,84.34,149.4,2006,110.82,80.04,103.33,86.58,98.8,,111.93,56.85,53.3,
2007,109.04,77.64,44.03,40.39,46.58,113.55,47.8,95.01,149.39,2007,116.25,83.55,106.61,85.29,102.55,,113.34,60.39,56.51,
2008,154.69,124.95,54.91,41.1,50.92,158.49,60.72,141.11,218.73,2008,158.84,102,153.96,126.45,147.93,,159.56,68.16,68.31,
2009,135.22,111.92,60.79,38.64,49.49,120.58,67.8,120.72,179.68,2009,167.16,87.71,167.85,101.27,152.33,,133.93,58.15,66.34,
2010,142,121.65,63.24,44.39,55.69,126.35,69.8,135.13,201.16,2010,155.82,94.69,159.17,139.79,132.28,,148.72,63.52,73.09,
2011,157.82,119.83,70,43.5,56.2,132.31,75.08,135.93,253.33,2011,175.69,109.04,192.45,144.54,140.1,,160.4,63,79.55,
2012,188.16,136.51,70.89,46.85,63.55,157.57,77.4,179.32,281.66,2012,207.83,126.22,234.62,178.79,179.93,158.24,198.64,66.37,90.17,
2013,178.81,131.61,63.7,45.95,61.24,151.54,70.21,173.17,247.46,2013,201.11,121.17,222.35,174.75,174.21,138.53,185.35,75.47,87.69,
2014,166.05,122.27,65.69,63.39,76.3,152.11,72.46,158.89,237.19,2014,201.13,112.68,197.52,175.46,153.82,160.27,172.08,77.92,89.48,
2015,123.78,115.98,69.03,67.07,75.76,115.9,73.32,115.76,167.33,2015,140.51,91.56,154.03,132.02,120.74,116.22,133.7,71.75,82.67,
2016,96.88,88.55,74.26,70.57,72.99,84.77,79.51,87.49,131.61,2016,106,82.09,125.42,103.78,90.31,92.8,100.34,73.45,79.58,
2017,108.91,91.71,76.83,63.69,72.04,91.1,84.09,96.42,162.62,2017,96.15,89.8,136.83,110.61,101.01,100.68,86.79,74.18,82.98,
2018,118.63,95.66,82.57,66.63,80.19,104.57,85.81,108.79,193.79,2018,99.1,96.87,147.21,122.84,117.21,112,107.45,76.29,90.09,
2019,115.39,96.64,85.96,61.73,79.8,99.74,90.45,107.73,211.7,2019,96.11,99.18,152.48,122.48,111.66,116.24,84.27,71.62,89.44,
2020,94.49,83.85,83.99,60.65,69.52,79.66,84.95,82.33,174.61,2020,80.85,89.92,130.18,96.44,92.11,85.75,80.78,67.35,80.35,
2021,118.6,105.53,103.35,58.35,75.92,104.98,101.6,108.22,221.23,2021,104.37,111.02,146.89,120.17,113.74,107.08,86.77,72.05,95,
2022,232.09,168.98,159.98,62.48,111.34,202.29,167.72,205.41,359.83,2022,198.92,206.96,241.63,224.72,230.8,194.7,112.88,88.28,152.99,
2022.1,194.38,153.73,141.88,68.84,102.2,175.03,134.61,174.38,314.65,2022.1,173.7,166.75,197.73,180.26,196.22,174.43,114.64,87.38,135,
2,234.75,175.74,157.06,78.14,127.27,208,155.45,203.51,310.74,2,183.66,194.27,227.91,220.29,235.75,208.84,121.87,102.92,157.38,
3,213.08,174.76,157.92,72.9,114.36,193.96,145.25,197.3,295.71,3,210.22,192.09,225,205.77,208.47,206,106.35,91.69,150.07,
4,225.96,183.48,167.4,65.3,124.73,201.45,167.55,203.7,322.22,4,162.5,204.84,221.43,216.67,224,215.14,102.34,89.33,153.22,
5,158.88,134.26,138.11,46.79,82.68,139.56,127.26,143.75,339.6,5,145.78,152.48,175,154.55,155.95,147.52,70.19,65.84,110.72,
6,154.85,132.27,131.37,44.71,74.51,132.25,128.6,139.25,309.9,6,135.59,143.38,200,161.29,148.72,142.21,67.45,62.6,108.17,
7,193,158.84,157.74,59.32,95.32,159.62,154.75,174.81,366.42,7,171.58,182.99,272.73,210.34,191.48,171.8,95.94,80.69,138.36,
8,261.94,204.17,187.69,69.11,117.08,214.51,206.41,219.34,455.92,8,228.81,234.02,370,264.29,270.95,227.69,140.77,97.33,175.39,
9,287.21,200.32,179.93,59.14,120.36,242.69,206.82,243.22,398.5,9,328.21,236.92,309.09,271.43,287.86,242.86,154.88,91.03,175.64,
10,295.72,173.73,159.27,62.53,145.09,257.33,217.54,267.54,384.15,10,344.53,243.24,300,277.14,288.34,254,142.97,95.06,176.95,
11,287.52,170.95,158.92,62.15,138.54,246.21,198.94,256.91,392.53,11,271.08,255.81,281.25,273.81,281.25,261.45,128.22,91.45,177.11,
12,286.29,159.92,169.99,63.08,100.04,194.4,179.66,194.5,411.14,12,188.93,270.18,256.6,266.27,288.45,178.51,133.68,108.19,176,
1) 지역 구분은 전력시장에 등록된 발전기의 소재지 기준으로 분류함,,,,,,,,,,,,,,,,,,,,
"2) 현재 기준 세종시 소재 발전기의 경우, 2012년 6월까지는 당시의 행정구역을 기준으로, 2012년 7월부터는 세종으로 분류함",,,,,,,,,,,,,,,,,,,,
5-2. 회원사별 정산단가,,,,,,,,,,,,,,,,,,,,
Unit Price of Settlement by Members,,,,,,,,,,,,,,,,,,,,
구분,A 회원사,B 회원사,C 회원사,D 회원사,E 회원사,F 회원사,기타,평균,증감률,"[단위 : 원/kWh, %]",,,,,,,,,,
,Member A,Member B,Member C,Member D,Member E,Member F,Others,Average,Rate of Change,"[Unit : Won/kWh, %]",,,,,,,,,,
,,,,,,,,,(%),,,,,,,,,,,
2001,39.84,49.03,51.13,58.12,51.57,56.37,,47.85,,,,,,,,,,,,
2002,39.7,48.52,51.42,55.23,50.3,55.79,,47.14,-1.5,,,,,,,,,,,
2003,39.94,48.16,56.5,56.92,54.35,57.04,61.76,48.64,3.2,,,,,,,,,,,
2004,39.78,46.5,55.44,55.9,58.23,58.54,69.29,49.2,1.2,,,,,,,,,,,
2005,39.4,48.79,61.1,60.63,62.96,61.15,79.31,50.96,3.6,,,,,,,,,,,
2006,38.51,47.29,65.65,64.91,70.27,61.74,95.1,53.3,4.6,,,,,,,,,,,
2007,39.92,49.95,70,65.72,73.91,62.55,98.39,56.51,6,,,,,,,,,,,
