col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018,col_019,col_020,col_021,col_022,col_023,col_024,col_025,col_026,col_027,col_028,col_029,col_030,col_031,col_032,col_033
2006,25,0.0,-,-,309,0.1,17295,5.2,40896,12.3,-,-,966,0.3,260719,78.5,-,-,-,-,12128,3.6,-,-,1,0.0,-,-,332337,74.4,2006,
2007,161,0.0,-,-,1663,0.4,30306,6.6,63801,13.9,-,-,2376,0.5,336150,73,-,-,17,0.0,25873,5.6,-,-,121,0.0,-,-,460469,38.6,2007,
2008,1955,0.3,-,-,24860,4,53400,8.5,88488,14.1,-,-,3482,0.6,403930,64.5,-,-,108,0.0,50086,8,-,-,416,0.1,-,-,626725,36.1,2008,
2009,8311,1.5,-,-,40436,7.3,73124,13.2,81823,14.7,-,-,5361,1,301865,54.3,0,0.0,773,0.1,43514,7.8,-,-,639,0.1,-,-,555846,-11.3,2009,
2010,21917,2.3,-,-,55350,5.8,100943,10.5,240203,25,-,-,8095,0.8,484003,50.4,0,0.0,1906,0.2,45956,4.8,-,-,1138,0.1,-,-,959512,72.6,2010,
2011,35158,2.5,-,-,60292,4.3,122711,8.8,493111,35.5,-,-,11167,0.8,605610,43.6,7012,0.5,3827,0.3,49780,3.6,-,-,1244,0.1,-,-,1389913,44.9,2011,
2012,58799,3.5,-,-,86654,5.2,158607,9.5,528242,31.6,-,-,16038,1,684708,40.9,72054,4.3,5603,0.3,60174,3.6,-,-,1625,0.1,-,-,1672505,20.3,2012,
2013,83672,4.5,-,-,118062,6.3,186094,10,599619,32.1,-,-,35249,1.9,706628,37.8,71262,3.8,18295,1,44661,2.4,-,-,4841,0.3,-,-,1868383,12.7,2013,
2014,128882,6.4,-,-,163477,8.1,173881,8.6,931715,46,-,-,59236,2.9,421539,20.8,68117,3.4,39732,2,34687,1.7,-,-,5470,0.3,-,-,2026737,13.5,2014,
2015,107081,6,-,-,156378,8.8,146093,8.2,927110,52,5768,0.3,53263,3,238810,13.4,49117,2.8,30401,1.7,24442,1.4,-,-,44880,2.5,-,-,1783342,-10.7,2015,
2016,85635,5,22716,1.3,138791,8.1,138597,8.1,901921,52.9,5056,0.3,33355,2,232092,13.6,37501,2.2,24206,1.4,18117,1.1,-,-,67617,4,-,-,1705604,3.6,2016,
2017,115902,5.7,76996,3.8,207205,10.1,197116,9.6,921392,45,-,-,40238,2,259791,12.7,39033,1.9,30001,1.5,20483,1,-,-,137950,6.7,-,-,2046108,17,2017,
2018,162922,6.5,121897,4.8,300053,11.9,259819,10.3,951245,37.7,-,-,66006,2.6,354909,14.1,45309,1.8,33655,1.3,22711,0.9,-,-,206536,8.2,-,-,2525062,9,2018,
2019,198285,8.1,63820,2.6,361140,14.7,276562,11.2,678684,27.6,-,-,50334,2,284451,11.6,42060,1.7,34530,1.4,21272,0.9,230864,9.4,216472,8.8,-,-,2458475,-2.6,2019,
2020,226736,12.6,125186,7,357210,19.9,228510,12.7,-,-,-,-,-,-,302287,16.8,30749,1.7,24350,1.4,12197,0.7,301975,16.8,189095,10.5,-,-,1798295,-26.9,2020,
2021,439713,16,158013,5.8,596610,21.7,314337,11.5,-,-,-,-,-,-,312642,11.4,42107,1.5,32928,1.2,17570,0.6,399496,14.6,431376,15.7,0,0,2744791,52.6,2021,
2022,1015070,15.7,289372,4.5,1598550,24.8,641669,9.9,-,-,-,-,-,-,720566,11.2,78328,1.2,63550,1,37210,0.6,683798,10.6,1321949,20.5,0,0,6450062,134.9928282335522,2022,
2023,968191,16.8,145322,2.5,1543453,26.7,508201,8.8,-,-,-,-,-,-,601651,10.4,64334,1.1,42478,0.7,32302,0.6,693829,12,1179158,20.4,339,0,5779258,-10.399962046876443,2023,
2024,924957,17.5,229987,4.4,1500547,28.4,417799,7.9,,,,,,,610852,11.6,40762,0.8,35064,0.7,22108,0.4,458578,8.7,991666,18.8,3026,0.1,5284138,-8.567189767267703,2024,
2025,922486,18.6,150349,3,1505722,30.3,397136,8,,,,,,,481282,9.7,0,0,29045,0.6,20179,0.4,497360,10,852805,17.2,3163,0.1,4967703,-5.988393944291381,2025,
2025.1,79054,19.3,23292,5.7,92531,22.6,53545,13.1,-,-,-,-,-,-,31207,7.6,0,0,3078,0.8,1904,0.5,45837,11.2,78513,19.2,165,0,409127,-8.4,2025.1,
2,72367,17.2,21114,5,117312,27.9,65056,15.5,-,-,-,-,-,-,26802,6.4,0,0,2737,0.7,1482,0.4,42204,10,71625,17,150,0,420850,21.5,2,
3,77732,19.4,4688,1.2,128925,32.2,47870,11.9,-,-,-,-,-,-,25766,6.4,0,0,3102,0.8,2001,0.5,44368,11.1,66447,16.6,89,0,400988,-17.5,3,
4,83081,18.3,0,0,177490,39.2,45839,10.1,-,-,-,-,-,-,32916,7.3,0,0,1994,0.4,2328,0.5,35604,7.9,73858,16.3,124,0,453234,3.4,4,
5,87832,18.3,6450,1.3,158656,33.1,41307,8.6,-,-,-,-,-,-,57391,12,0,0,3012,0.6,1333,0.3,37268,7.8,86374,18,277,0.1,479900,3.6,5,
6,80476,18.5,13441,3.1,156714,36,30509,7,-,-,-,-,-,-,57540,13.2,0,0,3053,0.7,1725,0.4,22594,5.2,68970,15.8,341,0.1,435364,-2.3,6,
7,83925,17.9,16539,3.5,173342,37,31040,6.6,-,-,-,-,-,-,40560,8.7,0,0,3232,0.7,2197,0.5,39078,8.3,77631,16.6,571,0.1,468117,-10.1,7,
8,80021,17.2,21682,4.7,152093,32.7,22637,4.9,-,-,-,-,-,-,41601,8.9,0,0,2920,0.6,1887,0.4,57197,12.3,85090,18.3,196,0,465324,-14.6,8,
9,71604,18.3,15358,3.9,113779,29.1,24474,6.3,-,-,-,-,-,-,50742,13,0,0,1619,0.4,1372,0.4,47251,12.1,64341,16.5,394,0.1,390933,-14.9,9,
10,70910,19,18985,5.1,91744,24.6,28867,7.8,-,-,-,-,-,-,63314,17,0,0,953,0.3,1605,0.4,36253,9.7,59378,15.9,349,0.1,372358,-0.6,10,
11,67232,20.1,4131,1.2,91330,27.3,40937,12.2,-,-,-,-,-,-,28970,8.7,0,0,1064,0.3,1303,0.4,41236,12.3,58258,17.4,328,0.1,334789,-2.1,11,
12,68253,20.3,4668,1.4,73919,22,51116,15.2,-,-,-,-,-,-,24475,7.3,0,0,2279,0.7,1043,0.3,48471,14.4,62320,18.5,178,0.1,336722,-19,12,
1) RPS의무이행비용 및 배출권거래비용정산금을 제외한 금액임,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
