col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018,col_019,col_020,col_021,col_022,col_023,col_024,col_025,col_026,col_027,col_028,col_029,col_030,col_031,col_032,col_033,col_034,col_035,col_036,col_037,col_038,col_039,col_040,col_041,col_042,col_043,col_044,col_045,col_046,col_047,col_048,col_049,col_050,col_051,col_052,col_053,col_054,col_055,col_056,col_057,col_058,col_059,col_060,col_061,col_062,col_063,col_064,col_065,col_066,col_067,col_068,col_069,col_070,col_071,col_072,col_073,col_074,col_075,col_076,col_077,col_078,col_079,col_080,col_081,col_082,col_083,col_084,col_085,col_086,col_087,col_088,col_089,col_090,col_091,col_092,col_093,col_094,col_095,col_096,col_097,col_098,col_099,col_100,col_101,col_102,col_103,col_104,col_105,col_106,col_107,col_108,col_109,col_110,col_111,col_112,col_113,col_114,col_115,col_116,col_117,col_118,col_119,col_120,col_121,col_122,col_123,col_124,col_125,col_126,col_127,col_128,col_129,col_130,col_131,col_132,col_133,col_134,col_135,col_136,col_137,col_138,col_139,col_140,col_141,col_142,col_143,col_144,col_145,col_146,col_147,col_148,col_149,col_150,col_151,col_152,col_153,col_154,col_155,col_156,col_157,col_158,col_159,col_160,col_161,col_162,col_163,col_164,col_165,col_166,col_167,col_168
,,,제약발전,제약비발전,변동비보전정산금,기대이익정산금,,,,,,,,,,,제약발전,제약비발전,변동비보전정산금,기대이익정산금,,,,,,,,,,,제약발전,제약비발전,변동비보전정산금,기대이익정산금,,,,,,,,,,,제약발전,제약비발전,변동비보전정산금,기대이익정산금,,,,,,,,,,,제약발전,제약비발전,변동비보전정산금,기대이익정산금,,,,,,,,,,,제약발전,제약비발전,변동비보전정산금,기대이익정산금,,,,,,,,,,,제약발전,제약비발전,변동비보전정산금,기대이익정산금,,,,,,,,,,,제약발전,제약비발전,변동비보전정산금,기대이익정산금,,,,,,,,,,,제약발전,제약비발전,변동비보전정산금,기대이익정산금,,,,,,,,,,,제약발전,제약비발전,변동비보전정산금,기대이익정산금,,,,,,,,,,,제약발전,제약비발전,변동비보전정산금,기대이익정산금,,,,,,,,,,,제약발전,제약비발전,변동비보전정산금,기대이익정산금,,,,,,,
,,Electricity Payment,Constrained-On Energy Payment,Constrained-Off Energy Payment,Varialbe Cost Compensation Payment,Expected Profits Payment,Other Payments,Capacity Payment,Emergency Capacity Reserve Payment,Ancillary Service Payment,Total,Unit Price of Settlement,,,,Electricity Payment,Constrained-On Energy Payment,Constrained-Off Energy Payment,Varialbe Cost Compensation Payment,Expected Profits Payment,Other Payments,Capacity Payment,Emergency Capacity Reserve Payment,Ancillary Service Payment,Total,Unit Price of Settlement,,,,Electricity Payment,Constrained-On Energy Payment,Constrained-Off Energy Payment,Varialbe Cost Compensation Payment,Expected Profits Payment,Other Payments,Capacity Payment,Emergency Capacity Reserve Payment,Ancillary Service Payment,Total,Unit Price of Settlement,,,,Electricity Payment,Constrained-On Energy Payment,Constrained-Off Energy Payment,Varialbe Cost Compensation Payment,Expected Profits Payment,Other Payments,Capacity Payment,Emergency Capacity Reserve Payment,Ancillary Service Payment,Total,Unit Price of Settlement,,,,Electricity Payment,Constrained-On Energy Payment,Constrained-Off Energy Payment,Varialbe Cost Compensation Payment,Expected Profits Payment,Other Payments,Capacity Payment,Emergency Capacity Reserve Payment,Ancillary Service Payment,Total,Unit Price of Settlement,,,,Electricity Payment,Constrained-On Energy Payment,Constrained-Off Energy Payment,Varialbe Cost Compensation Payment,Expected Profits Payment,Other Payments,Capacity Payment,Emergency Capacity Reserve Payment,Ancillary Service Payment,Total,Unit Price of Settlement,,,,Electricity Payment,Constrained-On Energy Payment,Constrained-Off Energy Payment,Varialbe Cost Compensation Payment,Expected Profits Payment,Other Payments,Capacity Payment,Emergency Capacity Reserve Payment,Ancillary Service Payment,Total,Unit Price of Settlement,,,,Electricity Payment,Constrained-On Energy Payment,Constrained-Off Energy Payment,Varialbe Cost Compensation Payment,Expected Profits Payment,Other Payments,Capacity Payment,Emergency Capacity Reserve Payment,Ancillary Service Payment,Total,Unit Price of Settlement,,,,Electricity Payment,Constrained-On Energy Payment,Constrained-Off Energy Payment,Varialbe Cost Compensation Payment,Expected Profits Payment,Other Payments,Capacity Payment,Emergency Capacity Reserve Payment,Ancillary Service Payment,Total,Unit Price of Settlement,,,,Electricity Payment,Constrained-On Energy Payment,Constrained-Off Energy Payment,Varialbe Cost Compensation Payment,Expected Profits Payment,Other Payments,Capacity Payment,Emergency Capacity Reserve Payment,Ancillary Service Payment,Total,Unit Price of Settlement,,,,Electricity Payment,Constrained-On Energy Payment,Constrained-Off Energy Payment,Varialbe Cost Compensation Payment,Expected Profits Payment,Other Payments,Capacity Payment,Emergency Capacity Reserve Payment,Ancillary Service Payment,Total,Unit Price of Settlement,,,,Electricity Payment,Constrained-On Energy Payment,Constrained-Off Energy Payment,Varialbe Cost Compensation Payment,Expected Profits Payment,Other Payments,Capacity Payment,Emergency Capacity Reserve Payment,Ancillary Service Payment,Total,Unit Price of Settlement,
,,(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(원/kWh),,,,(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(원/kWh),,,,(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(원/kWh),,,,(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(원/kWh),,,,(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(원/kWh),,,,(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(원/kWh),,,,(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(원/kWh),,,,(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(원/kWh),,,,(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(원/kWh),,,,(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(원/kWh),,,,(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(원/kWh),,,,(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(원/kWh),
,,(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(Won/kWh),,,,(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(Won/kWh),,,,(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(Won/kWh),,,,(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(Won/kWh),,,,(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(Won/kWh),,,,(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(Won/kWh),,,,(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(Won/kWh),,,,(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(Won/kWh),,,,(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(Won/kWh),,,,(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(Won/kWh),,,,(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(Won/kWh),,,,(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(Won/kWh),
원자력,Nuclear Power,11866,0,0,3,0,0,2120,0,0,13989,82.22,,원자력,Nuclear Power,10774,0,0,1,7,0,1797,0,0,12578,81.52,,원자력,Nuclear Power,11468,0,0,2,63,0,1335,0,0,12869,75.71,,원자력,Nuclear Power,11279,0,0,0,35,0,756,0,0,12069,79.59,,원자력,Nuclear Power,11329,0,0,0,22,0,731,0,0,12082,79.95,,원자력,Nuclear Power,10190,0,0,0,1,0,1141,0,0,11332,79.15,,원자력,Nuclear Power,10121,0,0,0,0,0,1882,0,0,12003,82.86,,원자력,Nuclear Power,9103,0,0,0,0,0,1667,0,0,10770,80.65,,원자력,Nuclear Power,8646,0,0,0,0,0,1277,0,0,9922,73.39,,원자력,Nuclear Power,7533,0,0,0,0,0,620,0,0,8154,62.5,,원자력,Nuclear Power,7212,0,0,0,35,0,958,0,0,8205,66.15,,원자력,Nuclear Power,12767,0,0,0,0,0,1940,0,0,14706,100.04,
유연탄,Flaming Coal,14713,0,0,31,1675,86,3050,0,94,19650,156.58,,유연탄,Flaming Coal,12645,0,0,18,1733,77,2564,29,84,17149,157.03,,유연탄,Flaming Coal,10083,0,0,43,1298,55,1455,105,93,13132,144.26,,유연탄,Flaming Coal,9665,0,0,20,1718,46,809,0,69,12327,156.85,,유연탄,Flaming Coal,12708,0,0,10,1896,83,945,0,128,15771,154.72,,유연탄,Flaming Coal,15607,0,0,17,1107,113,1796,0,304,18945,141.83,,유연탄,Flaming Coal,23028,0,0,12,1194,77,3512,0,397,28221,145.03,,유연탄,Flaming Coal,23249,0,0,7,865,76,3385,0,365,27948,139.12,,유연탄,Flaming Coal,19988,0,0,27,931,68,2378,0,207,23598,130.28,,유연탄,Flaming Coal,12716,0,0,21,1195,68,1065,0,141,15207,118.55,,유연탄,Flaming Coal,11916,0,0,42,1020,92,1747,0,129,14947,117.91,,유연탄,Flaming Coal,14640,0,0,47,481,105,3313,31,176,18795,114.35,
무연탄,Anthracite,184,0,0,0,19,1,24,0,0,228,142.97,,무연탄,Anthracite,33,0,0,0,0,0,4,0,0,37,128.76,,무연탄,Anthracite,66,0,0,0,2,1,7,0,0,75,125.39,,무연탄,Anthracite,94,0,0,1,0,1,5,0,0,101,132.27,,무연탄,Anthracite,7,0,0,0,0,0,1,0,0,8,132.5,,무연탄,Anthracite,4,0,0,0,0,0,0,0,0,5,136.62,,무연탄,Anthracite,142,0,0,0,9,0,15,0,0,167,135.52,,무연탄,Anthracite,134,0,0,0,8,0,14,0,0,156,131.81,,무연탄,Anthracite,93,0,0,0,2,0,8,0,0,104,115.78,,무연탄,Anthracite,87,0,0,0,0,0,9,0,0,97,113.46,,무연탄,Anthracite,209,0,0,1,10,1,17,0,0,238,103.56,,무연탄,Anthracite,191,0,0,0,3,1,26,1,0,223,100.06,
LNG,LNG,18464,0,0,1800,176,436,4823,0,280,25979,169.3,,LNG,LNG,17902,0,0,1570,169,409,3986,0,295,24331,162.71,,LNG,LNG,16954,0,0,1690,360,446,2674,0,424,22547,154.15,,LNG,LNG,16622,0,0,1684,346,499,1427,0,454,21032,159.37,,LNG,LNG,14921,0,0,1219,222,470,1255,0,435,18521,157.35,,LNG,LNG,13868,0,0,1116,170,450,2288,0,625,18516,162.02,,LNG,LNG,17187,0,0,613,271,429,4391,0,591,23482,171.16,,LNG,LNG,18001,0,0,635,239,462,4419,0,685,24441,164.55,,LNG,LNG,13562,0,0,1044,339,427,3104,0,462,18939,166.47,,LNG,LNG,12482,0,0,1740,204,370,1473,0,463,16732,141.2,,LNG,LNG,12477,0,0,1436,123,418,2500,0,478,17432,135.73,,LNG,LNG,12346,0,0,1585,164,464,4890,0,382,19832,149.55,
중유,Heavy Fuel Oil,33,0,0,4,0,0,5,0,0,41,146.97,,중유,Heavy Fuel Oil,21,0,0,2,0,0,3,0,0,26,147.1,,중유,Heavy Fuel Oil,6,0,0,0,0,0,2,0,0,8,160.67,,중유,Heavy Fuel Oil,5,0,0,0,0,0,1,0,0,6,142.87,,중유,Heavy Fuel Oil,4,0,0,0,0,0,1,0,0,5,144.18,,중유,Heavy Fuel Oil,4,0,0,0,0,0,1,0,0,5,145.79,,중유,Heavy Fuel Oil,4,0,0,0,0,0,1,0,0,6,162.36,,중유,Heavy Fuel Oil,4,0,0,0,0,0,1,0,0,5,159.98,,중유,Heavy Fuel Oil,4,0,0,0,0,0,1,0,0,5,142.59,,중유,Heavy Fuel Oil,4,0,0,0,0,0,1,0,0,4,113.49,,중유,Heavy Fuel Oil,4,0,0,0,0,0,2,0,0,6,153.93,,중유,Heavy Fuel Oil,21,0,0,3,0,0,5,0,0,29,123.47,
경유,Light Fuel Oil,0,0,0,0,0,0,29,0,1,30,0,,경유,Light Fuel Oil,0,0,0,0,0,0,25,0,0,25,0,,경유,Light Fuel Oil,0,0,0,0,0,0,18,0,0,18,0,,경유,Light Fuel Oil,0,0,0,0,0,0,10,0,0,10,0,,경유,Light Fuel Oil,0,0,0,0,0,0,10,0,0,10,0,,경유,Light Fuel Oil,0,0,0,0,0,0,16,0,0,16,0,,경유,Light Fuel Oil,3,0,0,4,0,1,25,0,0,33,1464.26,,경유,Light Fuel Oil,8,0,0,11,0,3,24,0,0,45,794.89,,경유,Light Fuel Oil,54,0,0,122,0,29,18,0,0,223,460.38,,경유,Light Fuel Oil,0,0,0,0,0,0,10,0,0,10,0,,경유,Light Fuel Oil,0,0,0,0,0,0,16,0,0,17,0,,경유,Light Fuel Oil,0,0,0,0,0,0,29,0,0,29,0,
양수,PSH,588,0,0,0,0,0,281,0,24,893,214.18,,양수,PSH,528,0,0,0,0,0,223,0,18,770,208.25,,양수,PSH,603,0,0,0,0,0,191,0,26,820,184.89,,양수,PSH,613,0,0,0,0,0,112,0,27,751,176.11,,양수,PSH,591,0,0,0,0,0,106,0,22,719,170.78,,양수,PSH,501,0,0,0,0,0,153,0,30,684,198.31,,양수,PSH,496,0,0,0,0,0,279,0,28,802,231.3,,양수,PSH,410,0,0,0,0,0,276,0,28,715,240.94,,양수,PSH,417,0,0,0,0,0,203,0,21,641,217.82,,양수,PSH,437,0,0,0,0,0,116,0,25,578,165.84,,양수,PSH,423,0,0,0,0,0,184,0,23,631,170.32,,양수,PSH,389,0,0,0,0,0,307,0,25,721,216.04,
연료전지,Fuel Cell,790,0,0,0,0,0,0,0,0,791,114.37,,연료전지,Fuel Cell,724,0,0,0,0,0,0,0,0,724,114.37,,연료전지,Fuel Cell,777,0,0,0,0,0,0,0,0,777,111.84,,연료전지,Fuel Cell,831,0,0,0,0,0,0,0,0,831,123.27,,연료전지,Fuel Cell,878,0,0,0,0,0,0,0,0,878,124.29,,연료전지,Fuel Cell,805,0,0,0,0,0,0,0,0,805,116.19,,연료전지,Fuel Cell,839,0,0,0,0,0,0,0,0,839,118.55,,연료전지,Fuel Cell,800,0,0,0,0,0,0,0,0,800,115.96,,연료전지,Fuel Cell,716,0,0,0,0,0,0,0,0,716,109.64,,연료전지,Fuel Cell,709,0,0,0,0,0,0,0,0,709,98.79,,연료전지,Fuel Cell,672,0,0,0,0,0,0,0,0,672,93.24,,연료전지,Fuel Cell,683,0,0,0,0,0,0,0,0,683,88.78,
IGCC,IGCC,186,0,0,0,20,1,25,0,1,233,142.41,,IGCC,IGCC,174,0,0,0,14,1,21,0,2,211,137.52,,IGCC,IGCC,41,0,0,0,2,1,3,0,0,47,120.37,,IGCC,IGCC,0,0,0,0,0,0,0,0,0,0,0,,IGCC,IGCC,62,0,0,0,0,0,2,0,0,64,131.29,,IGCC,IGCC,114,0,0,0,10,0,9,0,1,134,135.78,,IGCC,IGCC,136,0,0,0,10,0,18,0,1,165,141.36,,IGCC,IGCC,164,0,0,0,26,1,24,0,2,217,151.85,,IGCC,IGCC,137,0,0,0,3,0,13,0,0,154,121.86,,IGCC,IGCC,156,0,0,1,22,1,10,0,1,190,119.57,,IGCC,IGCC,33,0,0,0,5,0,3,0,0,41,131.69,,IGCC,IGCC,36,0,0,0,4,0,6,0,0,47,119.15,
태양광,Photovoltaic,924,0,0,0,0,0,1,0,0,925,125.88,,태양광,Photovoltaic,1172,0,0,0,0,0,1,0,0,1173,124.03,,태양광,Photovoltaic,1288,0,0,0,0,0,1,0,0,1289,114.79,,태양광,Photovoltaic,1773,0,0,0,0,0,2,0,0,1775,131.64,,태양광,Photovoltaic,1585,0,0,0,0,0,2,0,0,1587,130.56,,태양광,Photovoltaic,1566,0,0,0,0,0,1,0,0,1567,126.19,,태양광,Photovoltaic,1732,0,0,0,0,0,2,0,0,1733,127.8,,태양광,Photovoltaic,1520,0,0,0,0,0,1,0,0,1521,122.31,,태양광,Photovoltaic,1136,0,0,0,0,0,2,0,0,1138,124.08,,태양광,Photovoltaic,915,0,0,0,0,0,2,0,0,917,108.05,,태양광,Photovoltaic,911,0,0,0,0,0,2,0,0,913,96.52,,태양광,Photovoltaic,737,0,0,0,0,0,2,0,0,739,94.88,
풍력,Wind,529,0,0,0,0,0,7,0,0,535,113.84,,풍력,Wind,644,0,0,0,0,0,7,0,0,651,116.91,,풍력,Wind,470,0,0,0,1,-1,8,0,0,479,113.9,,풍력,Wind,452,0,0,0,1,-1,6,0,0,458,123,,풍력,Wind,408,0,0,0,0,-1,5,0,0,413,124.66,,풍력,Wind,300,0,0,0,0,0,5,0,0,305,119.51,,풍력,Wind,304,0,0,0,0,0,7,0,0,310,119.6,,풍력,Wind,224,0,0,0,0,0,3,0,0,226,117.75,,풍력,Wind,241,0,0,0,0,0,4,0,0,245,110.89,,풍력,Wind,282,0,0,0,0,0,7,0,0,289,102.91,,풍력,Wind,401,0,0,0,0,0,8,0,0,409,95.71,,풍력,Wind,499,0,0,0,0,0,12,0,0,511,90.16,
수력,Hydro,281,0,0,0,0,0,27,0,4,312,142.02,,수력,Hydro,243,0,0,0,0,0,22,0,3,268,141.24,,수력,Hydro,238,0,0,0,0,0,16,0,3,258,130.2,,수력,Hydro,315,0,0,0,0,0,11,0,4,329,135.76,,수력,Hydro,551,0,0,0,0,0,19,0,4,574,134.64,,수력,Hydro,531,0,0,0,0,0,35,0,9,575,132.62,,수력,Hydro,365,0,0,0,0,0,35,0,5,406,140.31,,수력,Hydro,377,0,0,0,0,0,32,0,7,416,135.84,,수력,Hydro,474,0,0,0,0,0,30,0,3,507,128,,수력,Hydro,603,0,0,0,0,0,27,0,3,633,110.9,,수력,Hydro,265,0,0,0,0,0,22,0,3,290,109.27,,수력,Hydro,212,0,0,0,0,0,29,0,3,245,111.63,
