col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018,col_019,col_020,col_021,col_022,col_023,col_024,col_025,col_026,col_027,col_028,col_029,col_030,col_031,col_032,col_033
2006,25,0.0,-,-,309,0.1,17295,5.2,40896,12.3,-,-,966,0.3,260719,78.5,-,-,-,-,12128,3.6,-,-,1,0.0,-,-,332337,74.4,2006,
2007,161,0.0,-,-,1663,0.4,30306,6.6,63801,13.9,-,-,2376,0.5,336150,73,-,-,17,0.0,25873,5.6,-,-,121,0.0,-,-,460469,38.6,2007,
2008,1955,0.3,-,-,24860,4,53400,8.5,88488,14.1,-,-,3482,0.6,403930,64.5,-,-,108,0.0,50086,8,-,-,416,0.1,-,-,626725,36.1,2008,
2009,8311,1.5,-,-,40436,7.3,73124,13.2,81823,14.7,-,-,5361,1,301865,54.3,0,0.0,773,0.1,43514,7.8,-,-,639,0.1,-,-,555846,-11.3,2009,
2010,21917,2.3,-,-,55350,5.8,100943,10.5,240203,25,-,-,8095,0.8,484003,50.4,0,0.0,1906,0.2,45956,4.8,-,-,1138,0.1,-,-,959512,72.6,2010,
2011,35158,2.5,-,-,60292,4.3,122711,8.8,493111,35.5,-,-,11167,0.8,605610,43.6,7012,0.5,3827,0.3,49780,3.6,-,-,1244,0.1,-,-,1389913,44.9,2011,
2012,58799,3.5,-,-,86654,5.2,158607,9.5,528242,31.6,-,-,16038,1,684708,40.9,72054,4.3,5603,0.3,60174,3.6,-,-,1625,0.1,-,-,1672505,20.3,2012,
2013,83672,4.5,-,-,118062,6.3,186094,10,599619,32.1,-,-,35249,1.9,706628,37.8,71262,3.8,18295,1,44661,2.4,-,-,4841,0.3,-,-,1868383,12.7,2013,
2014,128882,6.4,-,-,163477,8.1,173881,8.6,931715,46,-,-,59236,2.9,421539,20.8,68117,3.4,39732,2,34687,1.7,-,-,5470,0.3,-,-,2026737,13.5,2014,
2015,107081,6,-,-,156378,8.8,146093,8.2,927110,52,5768,0.3,53263,3,238810,13.4,49117,2.8,30401,1.7,24442,1.4,-,-,44880,2.5,-,-,1783342,-10.7,2015,
2016,85635,5,22716,1.3,138791,8.1,138597,8.1,901921,52.9,5056,0.3,33355,2,232092,13.6,37501,2.2,24206,1.4,18117,1.1,-,-,67617,4,-,-,1705604,3.6,2016,
2017,115902,5.7,76996,3.8,207205,10.1,197116,9.6,921392,45,-,-,40238,2,259791,12.7,39033,1.9,30001,1.5,20483,1,-,-,137950,6.7,-,-,2046108,17,2017,
2018,162922,6.5,121897,4.8,300053,11.9,259819,10.3,951245,37.7,-,-,66006,2.6,354909,14.1,45309,1.8,33655,1.3,22711,0.9,-,-,206536,8.2,-,-,2525062,9,2018,
2019,198285,8.1,63820,2.6,361140,14.7,276562,11.2,678684,27.6,-,-,50334,2,284451,11.6,42060,1.7,34530,1.4,21272,0.9,230864,9.4,216472,8.8,-,-,2458475,-2.6,2019,
2020,226736,12.6,125186,7,357210,19.9,228510,12.7,-,-,-,-,-,-,302287,16.8,30749,1.7,24350,1.4,12197,0.7,301975,16.8,189095,10.5,-,-,1798295,-26.9,2020,
2021,439713,16,158013,5.8,596610,21.7,314337,11.5,-,-,-,-,-,-,312642,11.4,42107,1.5,32928,1.2,17570,0.6,399496,14.6,431376,15.7,0,0,2744791,52.6,2021,
2022,1015070,15.7,289372,4.5,1598550,24.8,642611,10,-,-,-,-,-,-,720566,11.2,78328,1.2,63550,1,37210,0.6,683798,10.6,1321949,20.5,0,0,6451004,135,2022,
2023,968165,16.8,145322,2.5,1543240,26.7,509097,8.8,,,,,,,601651,10.4,64334,1.1,42478,0.7,32302,0.6,693829,12,1179158,20.4,339,0,5779915,-10.4,2023,
2023.1,111388,20.3,7755,1.4,96399,17.6,70355,12.8,-,-,-,-,-,-,35328,6.4,5902,1.1,5101,0.9,2279,0.4,77218,14.1,136649,24.9,0,0,548373,40.5,2023.1,
2,108804,22.6,0,0,118879,24.6,45278,9.4,-,-,-,-,-,-,29167,6,5703,1.2,4953,1,2947,0.6,66325,13.8,100276,20.8,0,0,482331,-0.7,2,
3,105399,16.7,0,0,205302,32.4,60543,9.6,-,-,-,-,-,-,43267,6.8,7896,1.2,3477,0.5,4439,0.7,52242,8.3,150138,23.7,0,0,632702,26.3,3,
4,67486,14.7,0,0,140257,30.6,53807,11.7,-,-,-,-,-,-,32267,7,5582,1.2,2420,0.5,3119,0.7,48439,10.6,104754,22.9,0,0,458131,-15.6,4,
5,64573,15.3,0,0,143207,33.9,33750,8,-,-,-,-,-,-,46098,10.9,5022,1.2,4425,1,1116,0.3,42056,10,81684,19.4,0,0,421930,-2,5,
6,66003,15,0,0,148002,33.6,27674,6.3,-,-,-,-,-,-,51952,11.8,4875,1.1,3706,0.8,2906,0.7,48734,11.1,86707,19.7,0,0,440559,27.4,6,
7,73605,13.6,18271,3.4,124718,23,36743,6.8,-,-,-,-,-,-,110786,20.4,5010,0.9,3822,0.7,2940,0.5,71951,13.3,95067,17.5,0,0,542913,19.4,7,
8,72103,13.7,30872,5.9,150598,28.5,23894,4.5,-,-,-,-,-,-,68160,12.9,5474,1,3608,0.7,2973,0.6,72354,13.7,97662,18.5,0,0,527698,-23.8,8,
9,72030,15.5,18537,4,124046,26.7,18958,4.1,-,-,-,-,-,-,68271,14.7,4763,1,3124,0.7,2208,0.5,58461,12.6,94684,20.4,32,0,465116,-34.4,9,
10,77805,17.2,18101,4,138769,30.8,31625,7,-,-,-,-,-,-,43318,9.6,5574,1.2,1559,0.3,3008,0.7,54544,12.1,76631,17,117,0,451052,-37.4,10,
11,69829,17.6,24850,6.3,89225,22.6,53868,13.6,-,-,-,-,-,-,31766,8,3963,1,2859,0.7,2340,0.6,50937,12.9,65888,16.7,119,0,395642,-36.4,11,
12,79141,19.1,26936,6.5,63838,15.4,52602,12.7,-,-,-,-,-,-,41270,10,4569,1.1,3424,0.8,2028,0.5,50570,12.2,89018,21.5,71,0,413467,-25.6,12,
1) RPS의무이행비용 및 배출권거래비용정산금을 제외한 금액임,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
