col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018,col_019,col_020,col_021
2004,39.78,46.5,55.44,55.9,58.23,58.54,69.29,49.2,1.2,,,,,,,,,,,
2005,39.4,48.79,61.1,60.63,62.96,61.15,79.31,50.96,3.6,,,,,,,,,,,
2006,38.51,47.29,65.65,64.91,70.27,61.74,95.1,53.3,4.6,,,,,,,,,,,
2007,39.92,49.95,70,65.72,73.91,62.55,98.39,56.51,6,,,,,,,,,,,
2008,39.82,63.46,87.48,81.11,95.14,80.26,145.34,68.31,20.9,,,,,,,,,,,
2009,36.16,64.72,84.27,86.29,87.73,78.88,124.25,66.34,-2.9,,,,,,,,,,,
2010,40.87,69.92,89.56,92.69,89.52,84.97,128.99,73.09,10.2,,,,,,,,,,,
2011,42.79,74.23,97.26,98.04,101.54,91.89,134.67,79.55,8.8,,,,,,,,,,,
2012,45.06,75.35,108.16,109.65,113.56,106.29,167.37,90.17,13.3,,,,,,,,,,,
2013,45.3,67.41,101.18,102.13,107.99,97.24,159.35,87.69,-2.7,,,,,,,,,,,
2014,59.04,67.88,98.03,99.64,108.85,91.1,148.78,89.48,2,,,,,,,,,,,
2015,64.48,70.6,87.16,89.15,90.75,84.66,116.17,82.67,-7.6,,,,,,,,,,,
2016,68.88,71.59,84.43,85.63,86.66,84.63,91.84,79.58,-3.7,,,,,,,,,,,
2017,62.23,76.36,87.53,91.61,90.98,91.92,100.63,82.98,4.3,,,,,,,,,,,
2018,64.35,81.35,92.38,96.41,97.83,94.1,110.97,90.09,8.6,,,,,,,,,,,
2019,60.12,84.52,101.17,98.65,101.91,96.83,107.91,89.44,-0.7,,,,,,,,,,,
2020,60.87,81.02,89.78,92.8,95.14,92.37,87.32,80.35,-10.2,,,,,,,,,,,
2021,58.44,98.36,111.84,108.2,113.67,109.3,111.93,95,18.23,,,,,,,,,,,
2022,58.46,166.7,187.65,192.38,185.27,178.25,214.7,153.13,61.2,,,,,,,,,,,
2023,59.79,145.97,163.62,169.23,188.39,156.53,184.78,137.07,-10.5,,,,,,,,,,,
2024,70.58,138.43,155.87,163.33,172.31,152.7,158.43,128.09,-6.6,,,,,,,,,,,
2024.1,65.29,130.78,151.85,162.54,183.08,153.98,173.56,135.43,-17.1,,,,,,,,,,,
2,55.64,122.06,135.18,141.84,166.82,135.31,156.67,117.45,-29.2,,,,,,,,,,,
3,57.8,126.51,151.64,153.46,166.42,144.83,160.01,121.9,-28.1,,,,,,,,,,,
4,72.72,138.69,151.87,155.38,168.31,158.63,150.01,123.5,-3.3,,,,,,,,,,,
5,73.31,139.48,152.95,160.26,171.53,155.71,148.7,121.37,2.5,,,,,,,,,,,
6,75,142.69,159.37,167.41,165.11,153.75,152.35,127.73,1.6,,,,,,,,,,,
7,84.04,157.54,167.71,179.16,179.91,166.29,165.88,141.25,-0.3,,,,,,,,,,,
8,91.08,169.18,180.66,187.07,185.22,179.13,173.21,152.83,9.3,,,,,,,,,,,
9,81.89,158.19,174.19,182.02,177.8,169.04,164.27,139.85,8.2,,,,,,,,,,,
10,56.33,112.74,131.75,138.37,153.3,127.49,146.03,106.61,-9.8,,,,,,,,,,,
11,57.34,114.89,132.25,134.37,152.19,126.74,145.08,108.65,-1,,,,,,,,,,,
12,75.94,135.23,159.39,167.29,176.44,146.39,156.16,129.24,0.6,,,,,,,,,,,
5-3. 연료원별 정산단가,,,,,,,,,,,,,,,,,,,,
Unit Price of Settlement by Fuel Type,,,,,,,,,,,,,,,,,,,,
구분,원자력,석탄,LNG,유류,양수,신재생,기타,평균,증감률,"[단위 : 원/kWh, %]",,,,,,,,,,
,Nuclear Power,Coal,LNG,Oil,PSH,Renewable,Others,Average,Rate of Change,"[Unit : Won/kWh, %]",,,,,,,,,,
,,,,,,,,,(%),,,,,,,,,,,
2001,39.65,42.26,87.77,73.37,75.06,57.32,,47.85,,,,,,,,,,,,
2002,39.55,42.71,75.6,70.94,83.58,54.22,,47.14,-1.5,,,,,,,,,,,
2003,39.75,42.63,82.92,76.03,94.08,56.7,,48.64,3.2,,,,,,,,,,,
2004,39.52,42.3,77.91,81.33,108.2,61.19,,49.2,1.2,,,,,,,,,,,
2005,39.1,43.95,87.07,92.5,108.28,69.56,,50.96,3.6,,,,,,,,,,,
2006,38.13,39.05,102.95,116.43,136.8,83.57,,53.3,4.6,,,,,,,,,,,
2007,39.4,41.83,104.93,118.3,163.31,91.16,,56.51,6,,,,,,,,,,,
2008,39.02,53.67,143.72,194.43,196.78,132.22,,68.31,20.9,,,,,,,,,,,
2009,35.56,62.15,129.51,147.24,149.7,107.04,,66.34,-2.9,,,,,,,,,,,
2010,39.61,62.77,128.06,184.6,202.61,117.34,,73.09,10.2,,,,,,,,,,,
2011,39.12,68.39,142.36,225.82,168.83,113.58,,79.55,8.8,,,,,,,,,,,
2012,39.52,67.81,168.1,252.96,213.93,136.1,,90.17,13.3,,,,,,,,,,,
2013,39.03,59.87,160.74,221.7,204.21,133.49,146.08,87.69,-2.7,,,,,,,,,,,
2014,54.7,64.36,160.69,221.24,171.5,122.9,142.58,89.48,2,,,,,,,,,,,
2015,62.69,69.59,126.14,150.28,132.75,101.13,95.04,82.67,-7.6,,,,,,,,,,,
2016,67.91,74.44,99.33,109.5,106.21,88.06,73.97,79.58,-3.7,,,,,,,,,,,
2017,60.68,78.79,111.6,165.44,107.6,90.52,80.01,82.98,4.3,,,,,,,,,,,
2018,62.1,82.05,121.03,179.43,125.37,98.61,94.29,90.09,8.6,,,,,,,,,,,
2019,58.31,86.36,118.65,228.48,121.25,99.97,92.99,89.44,-0.7,,,,,,,,,,,
2020,59.61,81.51,98.55,193.02,112.8,80.28,84.52,80.35,-10.2,,,,,,,,,,,
2021,56.15,99.06,121.7,224.36,140.13,106.42,94.98,95,18.23,,,,,,,,,,,
2022,52.48,157.01,239.3,310.11,277.58,205.76,196.29,153.13,61.2,,,,,,,,,,,
2023,54.98,139.91,214.21,356.68,240.84,171.42,160.04,137.07,-10.5,,,,,,,,,,,
2024,66.27,143.56,175.47,443.28,208.98,138.77,131.45,128.09,-6.6,,,,,,,,,,,
2024.1,59.35,134.81,198.28,345.89,271.53,151.83,147.39,135.43,-17.1,,,,,,,,,,,
2,51.05,122.58,179,395.01,217.96,128.61,125.82,117.45,-29.2,,,,,,,,,,,
3,52.42,130.8,177.76,331.42,208.94,143.01,136.17,121.9,-28.1,,,,,,,,,,,
4,68.45,141.6,167,364.88,185.66,133.42,127.42,123.5,-3.3,,,,,,,,,,,
5,69.2,144.28,163.61,420.11,179.19,132.2,127.36,121.37,2.5,,,,,,,,,,,
6,71.42,148.15,167.7,608.49,190.07,135.43,128.16,127.73,1.6,,,,,,,,,,,
7,79.92,161.42,181.56,809.06,226.5,144.2,135.96,141.25,-0.3,,,,,,,,,,,
8,86.21,171.97,186.85,550.72,245.09,158.98,149.44,152.83,9.3,,,,,,,,,,,
9,78.02,164.24,178.03,569.62,215.07,150.62,141.37,139.85,8.2,,,,,,,,,,,
10,52.98,119.48,159.62,598.7,173.39,129.74,120.7,106.61,-9.8,,,,,,,,,,,
11,53.88,120.4,158.39,686.82,186.04,123.51,116.41,108.65,-1,,,,,,,,,,,
12,71.94,142.84,175.12,343.6,221.77,129.24,124.96,129.24,0.6,,,,,,,,,,,
