col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018,col_019,col_020,col_021,col_022,col_023,col_024,col_025,col_026,col_027,col_028,col_029,col_030,col_031,col_032,col_033
2015,1067840,6.1,-,-,1533113,8.7,1335915,7.6,9453745,53.6,61398,0.3,537761,3,2106966,11.9,496354,2.8,305096,1.7,246513,1.4,-,-,489786,2.8,-,-,17634487,6.9,2015,
2016,1120558,5.8,298468,1.5,1806868,9.3,1673879,8.6,9271571,47.9,66595,0.3,437448,2.3,2756905,14.2,495456,2.6,320953,1.7,237925,1.2,-,-,882786,4.6,-,-,19369412,9.8,2016,
2017,1443611,6.4,961604,4.3,2461679,10.9,2161585,9.6,9468612,41.9,-,-,498126,2.2,2772598,12.3,489466,2.2,371805,1.6,253135,1.1,-,-,1722148,7.6,-,-,22604370,16.7,2017,
2018,1725550,6.7,1284959,5,3063970,12,2456371,9.6,9774544,38.2,-,-,702288,2.7,3327181,13,485353,1.9,357578,1.4,238615,0.9,-,-,2190478,8.6,-,-,25606886,13.3,2018,
2019,2227854,9.1,780761,3.2,3849797,15.7,2672358,10.9,7145578,29.1,-,-,562185,2.3,2739048,11.1,474327,1.9,386320,1.6,233890,1,1096047,4.5,2424123,9.9,-,-,24592287,-4,2019,
2020,3430502,15.3,1836128,8.2,5079673,22.7,3134386,14,-,-,-,-,-,-,3810574,17,457257,2,352115,1.6,177625,0.8,1247271,5.6,2874849,12.8,-,-,22400380,-8.9,2020,
2021,4663106,18.1,1677707,6.5,6390374,24.8,3166089,12.3,-,-,-,-,-,-,2995938,11.6,454968,1.8,356863,1.4,183734,0.7,1284819,5,4619327,17.9,0,0,25792926,15.1,2021,
2022,5268707,16.8,1505741,4.8,8361847,26.7,3355679,10.7,-,-,-,-,-,-,3487852,11.1,423840,1.4,351295,1.1,203336,0.6,1463142,4.7,6929556,22.1,0,0,31350995,21.5,2022,
2023,6093568,18.1,767053,2.3,9684277,28.7,3379079,10,,,,,,,3661114,10.9,437538,1.3,286006,0.8,215747,0.6,1536136,4.6,7655402,22.7,2633,0,33718553,7.6,2023,
2023.1,501125,18,44870,2,593470,22,418607,15,-,-,-,-,-,-,201419,7.3,37132,1.4,31982,1.2,14322,0.5,149006,5.4,752399,27.4,0,0,2744332,18.9,2023.1,
2,467959,20,0,0,718715,30,260762,11,-,-,-,-,-,-,165869,7,35383,1.5,30644,1.3,18244,0.8,129392,5.4,550879,23.2,0,0,2377847,0.1,2,
3,496489,18,0,0,961608,34,286484,10,-,-,-,-,-,-,179819,6.4,36895,1.3,16338,0.6,20866,0.7,106304,3.8,706618,25.1,0,0,2811420,12.6,3,
4,420912,16,0,0,896728,33,343363,13,-,-,-,-,-,-,189554,7.1,35821,1.3,15528,0.6,19981,0.7,101241,3.8,658401,24.6,0,0,2681530,3.1,4,
5,455945,17,0,0,957331,36,240129,9,-,-,-,-,-,-,292808,10.9,36533,1.4,31027,1.2,8009,0.3,92375,3.4,578657,21.5,0,0,2692814,-4.1,5,
6,454871,17,0,0,963155,36,190093,7,-,-,-,-,-,-,313903,11.6,35085,1.3,25537,0.9,20038,0.7,104165,3.9,596221,22.1,0,0,2703069,12.7,6,
7,488326,16,110650,4,747527,24,245508,8,-,-,-,-,-,-,671921,21.5,35032,1.1,25346,0.8,19480,0.6,153146,4.9,630509,20.2,0,0,3127446,18.1,7,
8,499843,16,195940,6,943276,30,159733,5,-,-,-,-,-,-,417471,13.3,39673,1.3,24948,0.8,20588,0.7,153646,4.9,676086,21.6,0,0,3131204,0,8,
9,524326,18,27697,1,830566,29,136620,5,-,-,-,-,-,-,448571,15.6,36136,1.3,22296,0.8,16256,0.6,139445,4.9,685726,23.9,223,0,2867862,2.3,9,
10,579614,20,12206,0,943310,33,232039,8,-,-,-,-,-,-,280579,9.9,41575,1.5,11658,0.4,22380,0.8,136834,4.8,570428,20.1,842,0,2831467,4.7,10,
11,589122,20,188132,6,673755,23,457100,16,-,-,-,-,-,-,224898,7.7,33249,1.1,24095,0.8,19746,0.7,136735,4.7,557720,19.2,1012,0,2905565,20.9,11,
12,615035,22,187558,7,454836,16,408640,14,-,-,-,-,-,-,274302,9.6,35024,1.2,26607,0.9,15837,0.6,133846,4.7,691758,24.3,555,0,2843998,6.4,12,
