col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018,col_019,col_020,col_021,col_022,col_023,col_024,col_025,col_026,col_027,col_028,col_029,col_030,col_031,col_032,col_033,col_034,col_035,col_036,col_037,col_038,col_039,col_040,col_041,col_042,col_043,col_044,col_045,col_046,col_047,col_048,col_049,col_050,col_051,col_052,col_053,col_054,col_055,col_056,col_057,col_058,col_059,col_060,col_061,col_062,col_063,col_064,col_065,col_066,col_067,col_068,col_069,col_070,col_071,col_072,col_073,col_074,col_075,col_076,col_077,col_078,col_079,col_080,col_081,col_082,col_083,col_084,col_085,col_086,col_087,col_088,col_089,col_090,col_091,col_092,col_093,col_094,col_095,col_096,col_097,col_098,col_099,col_100,col_101,col_102,col_103,col_104,col_105,col_106,col_107,col_108,col_109,col_110,col_111,col_112,col_113,col_114,col_115,col_116,col_117,col_118,col_119,col_120
B 회원사,Member B,4383,9362,4756,4621,4621,4044,4044,,B 회원사,Member B,3564,9362,4430,4360,4360,3327,3327,,B 회원사,Member B,3033,9362,3467,3409,3409,2912,2912,,B 회원사,Member B,2645,9362,3315,3243,3243,2489,2489,,B 회원사,Member B,3037,9362,3809,3672,3672,2836,2836,,B 회원사,Member B,2968,9383,3791,3688,3688,2918,2918,,B 회원사,Member B,3563,9383,4707,4596,4596,3448,3448,,B 회원사,Member B,3845,9383,4816,4734,4734,3877,3877,,B 회원사,Member B,2848,9383,3935,3855,3855,2905,2905,,B 회원사,Member B,2822,9383,3553,3517,3517,2678,2678,,B 회원사,Member B,2730,9383,3401,3358,3357,2509,2509,,B 회원사,Member B,3563,9383,4267,4233,4232,3361,3361,
C 회원사,Member C,5187,10775,7568,7521,7520,4737,4737,,C 회원사,Member C,4423,10775,6599,6465,6465,3928,3928,,C 회원사,Member C,3840,10775,6137,6054,6054,3477,3477,,C 회원사,Member C,3054,10777,5357,5323,5318,3030,3030,,C 회원사,Member C,3275,10777,5224,5079,5078,2949,2949,,C 회원사,Member C,3516,10798,6012,5821,5805,3328,3328,,C 회원사,Member C,4487,10798,7272,7147,7144,4543,4543,,C 회원사,Member C,5111,10798,7156,7110,7109,4805,4805,,C 회원사,Member C,4474,10798,6627,6597,6596,4081,4081,,C 회원사,Member C,3555,10798,5965,5937,5932,2985,2985,,C 회원사,Member C,3714,10798,5708,5522,5513,2707,2707,,C 회원사,Member C,3590,10798,7362,7320,7319,3463,3463,
D 회원사,Member D,3785,11912,8394,8208,8183,3583,3583,,D 회원사,Member D,3055,11912,6809,6765,6765,2730,2730,,D 회원사,Member D,2398,11912,5288,5252,5251,2349,2349,,D 회원사,Member D,2515,11912,5523,5468,5464,2306,2306,,D 회원사,Member D,2542,11914,5868,5674,5664,2378,2378,,D 회원사,Member D,3251,11914,6685,6400,6395,3035,3035,,D 회원사,Member D,4090,11914,8002,7819,7812,3852,3852,,D 회원사,Member D,4305,11917,8041,7980,7972,4429,4429,,D 회원사,Member D,3578,11917,7282,7152,7151,3415,3415,,D 회원사,Member D,2621,11917,6721,6633,6633,2877,2877,,D 회원사,Member D,2402,11917,6443,6257,6255,2430,2430,,D 회원사,Member D,2699,11917,7430,7357,7356,2553,2553,
E 회원사,Member E,3208,11564,8269,8271,8271,3195,3195,,E 회원사,Member E,2686,11564,7527,7502,7502,2604,2604,,E 회원사,Member E,2611,11960,6886,6775,6775,2651,2651,,E 회원사,Member E,2302,11960,6682,6530,6530,2307,2307,,E 회원사,Member E,2239,12161,6677,6409,6408,2100,2100,,E 회원사,Member E,3341,12165,6885,6700,6699,3392,3392,,E 회원사,Member E,3500,12184,8310,8259,8259,4067,4067,,E 회원사,Member E,4194,12184,8367,8368,8367,4721,4721,,E 회원사,Member E,2569,12184,7609,7574,7574,3380,3380,,E 회원사,Member E,2204,12184,7182,7098,7098,2366,2366,,E 회원사,Member E,2050,12184,7245,7108,7107,2343,2343,,E 회원사,Member E,3430,12184,8985,8877,8877,2983,2983,
F 회원사,Member F,3659,9582,6033,6012,6011,3341,3341,,F 회원사,Member F,2992,9583,5479,5450,5449,2812,2812,,F 회원사,Member F,2848,9584,4841,4840,4839,2526,2526,,F 회원사,Member F,2361,9584,4351,4313,4310,2037,2037,,F 회원사,Member F,2112,9585,4044,3987,3986,1924,1924,,F 회원사,Member F,2419,9585,4650,4557,4555,2547,2547,,F 회원사,Member F,3387,9589,5819,5796,5796,3461,3461,,F 회원사,Member F,3604,9590,5716,5703,5703,3639,3639,,F 회원사,Member F,3119,9591,5129,5082,5081,3036,3036,,F 회원사,Member F,2804,9591,4849,4774,4774,2450,2450,,F 회원사,Member F,3133,9672,5182,5109,5108,2625,2625,,F 회원사,Member F,3295,9674,5775,5683,5681,2997,2997,
기타,Others,11865,53006,23753,23397,23381,17266,17263,,기타,Others,9592,53609,21843,21538,21516,14348,14345,,기타,Others,11612,53656,21861,21514,21509,16285,16281,,기타,Others,8760,53738,19437,19199,19188,13777,13773,,기타,Others,7492,55195,17748,17586,17567,13053,13048,,기타,Others,8252,56993,18265,17777,17747,12997,12993,,기타,Others,11152,57215,21853,21220,21134,14772,14758,,기타,Others,13970,57394,21832,21314,21274,17110,17102,,기타,Others,10878,57609,20234,19436,19352,14269,14262,,기타,Others,8585,57894,20500,19890,19858,12631,12582,,기타,Others,9313,58266,24108,23606,23583,14276,14234,,기타,Others,12265,58344,27021,26363,26349,17100,17034,
합계,Total,46592,137657,73338,72499,72456,50833,50830,,합계,Total,40378,138261,66825,66179,66153,44197,44195,,합계,Total,41232,138706,63457,62785,62768,45608,45604,,합계,Total,35563,138790,58788,58161,58138,40464,40460,,합계,Total,35979,140452,58874,57885,57854,41161,41156,,합계,Total,38335,142295,61124,59465,59409,43058,43053,,합계,Total,45874,142540,71990,70841,70746,50399,50385,,합계,Total,49854,142724,70963,70185,70134,53902,53894,,합계,Total,42601,142940,66047,64910,64822,46657,46649,,합계,Total,38854,143226,65145,64154,64115,42698,42650,,합계,Total,38685,143681,67512,66375,66342,42674,42633,,합계,Total,44745,143769,76816,75805,75787,48824,48758,
2-2-2. 연료원별 월간 항목별 전력거래량(1월),,,,,,,,,,2-2-2. 연료원별 월간 항목별 전력거래량(2월),,,,,,,,,,2-2-2. 연료원별 월간 항목별 전력거래량(3월),,,,,,,,,,2-2-2. 연료원별 월간 항목별 전력거래량(4월),,,,,,,,,,2-2-2. 연료원별 월간 항목별 전력거래량(5월),,,,,,,,,,2-2-2. 연료원별 월간 항목별 전력거래량(6월),,,,,,,,,,2-2-2. 연료원별 월간 항목별 전력거래량(7월),,,,,,,,,,2-2-2. 연료원별 월간 항목별 전력거래량(8월),,,,,,,,,,2-2-2. 연료원별 월간 항목별 전력거래량(9월),,,,,,,,,,2-2-2. 연료원별 월간 항목별 전력거래량(10월),,,,,,,,,,2-2-2. 연료원별 월간 항목별 전력거래량(11월),,,,,,,,,,2-2-2. 연료원별 월간 항목별 전력거래량(12월),,,,,,,,,
Monthly Electric Energy Trading Volume by Item by Fuel Type(January),,,,,,,,,,Monthly Electric Energy Trading Volume by Item by Fuel Type(February),,,,,,,,,,Monthly Electric Energy Trading Volume by Item by Fuel Type(March),,,,,,,,,,Monthly Electric Energy Trading Volume by Item by Fuel Type(April),,,,,,,,,,Monthly Electric Energy Trading Volume by Item by Fuel Type(May),,,,,,,,,,Monthly Electric Energy Trading Volume by Item by Fuel Type(June),,,,,,,,,,Monthly Electric Energy Trading Volume by Item by Fuel Type(July),,,,,,,,,,Monthly Electric Energy Trading Volume by Item by Fuel Type(August),,,,,,,,,,Monthly Electric Energy Trading Volume by Item by Fuel Type(September),,,,,,,,,,Monthly Electric Energy Trading Volume by Item by Fuel Type(October),,,,,,,,,,Monthly Electric Energy Trading Volume by Item by Fuel Type(November),,,,,,,,,,Monthly Electric Energy Trading Volume by Item by Fuel Type(December),,,,,,,,,
구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]",구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]",구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]",구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]",구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]",구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]",구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]",구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]",구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]",구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]",구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]",구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]"
,,Day-Ahead Operation Scheduled energy,Market-Registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]",,,Day-Ahead Operation Scheduled energy,Market-Registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]",,,Day-Ahead Operation Scheduled energy,Market-Registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]",,,Day-Ahead Operation Scheduled energy,Market-Registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]",,,Day-Ahead Operation Scheduled energy,Market-Registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]",,,Day-Ahead Operation Scheduled energy,Market-Registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]",,,Day-Ahead Operation Scheduled energy,Market-Registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]",,,Day-Ahead Operation Scheduled energy,Market-Registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]",,,Day-Ahead Operation Scheduled energy,Market-Registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]",,,Day-Ahead Operation Scheduled energy,Market-Registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]",,,Day-Ahead Operation Scheduled energy,Market-Registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]",,,Day-Ahead Operation Scheduled energy,Market-Registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]"
,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),,,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),,,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),,,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),,,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),,,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),,,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),,,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),,,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),,,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),,,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),,,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),
원자력,Nuclear Power,14506,26050,14513,14417,14417,14216,14216,,원자력,Nuclear Power,14066,26050,14070,14025,14023,14008,14008,,원자력,Nuclear Power,14889,26050,14900,14859,14849,14836,14836,,원자력,Nuclear Power,13926,26050,13958,13927,13927,13911,13911,,원자력,Nuclear Power,15282,26050,15320,15293,15293,15243,15243,,원자력,Nuclear Power,14589,26050,14675,14371,14369,14321,14321,,원자력,Nuclear Power,15695,26050,15798,15779,15779,15666,15666,,원자력,Nuclear Power,14826,26050,14847,14786,14785,14738,14738,,원자력,Nuclear Power,15135,26050,15138,15073,15073,15055,15055,,원자력,Nuclear Power,16264,26050,16307,16230,16230,16212,16212,,원자력,Nuclear Power,15342,26050,15362,15356,15356,15339,15339,,원자력,Nuclear Power,15903,26050,15904,15902,15902,15886,15886,
석탄,Coal,19549,40690,24472,24081,24049,17363,17363,,석탄,Coal,16441,40690,21876,21563,21554,14104,14104,,석탄,Coal,14540,40690,18058,17811,17806,12339,12338,,석탄,Coal,12236,40690,15792,15606,15599,10914,10914,,석탄,Coal,11544,40690,15438,15025,15014,9663,9662,,석탄,Coal,13841,41740,19134,18492,18488,12114,12114,,석탄,Coal,17142,41740,24201,23523,23514,15513,15513,,석탄,Coal,20120,41740,24442,24183,24178,18434,18434,,석탄,Coal,16166,41740,21885,21416,21413,14464,14464,,석탄,Coal,13636,41740,20706,20429,20427,11088,11088,,석탄,Coal,13409,41740,20833,20440,20435,11147,11147,,석탄,Coal,16255,41740,24156,23828,23823,14248,14248,
LNG,LNG,12161,44244,33227,32876,32866,15676,15676,,LNG,LNG,9568,44811,29793,29503,29488,12785,12785,,LNG,LNG,11464,45215,29411,29028,29026,14385,14385,,LNG,LNG,9242,45215,27790,27393,27380,11654,11654,,LNG,LNG,9094,46821,27111,26563,26542,11979,11979,,LNG,LNG,9659,47546,26110,25416,25366,12764,12764,,LNG,LNG,12660,47713,30449,29995,29909,15013,15013,,LNG,LNG,14492,47816,30381,29921,29876,16691,16691,,LNG,LNG,10903,47816,27912,27268,27183,13514,13514,,LNG,LNG,8565,47983,26985,26345,26308,11862,11862,,LNG,LNG,9596,48071,30267,29531,29503,12773,12773,,LNG,LNG,12096,48062,35505,34819,34806,14755,14755,
유류,Oil,26,615,453,452,452,24,24,,유류,Oil,14,615,418,416,416,13,13,,유류,Oil,13,615,372,374,374,13,13,,유류,Oil,8,575,388,386,382,6,6,,유류,Oil,5,531,391,391,391,4,4,,유류,Oil,5,531,360,368,368,4,4,,유류,Oil,5,531,376,372,372,6,6,,유류,Oil,5,531,371,370,370,16,16,,유류,Oil,5,531,344,340,339,6,6,,유류,Oil,4,531,381,381,381,3,3,,유류,Oil,4,531,390,390,390,4,4,,유류,Oil,18,531,421,420,420,17,17,
양수,PSH,0,4700,0,0,0,374,374,,양수,PSH,0,4700,7,6,6,350,350,,양수,PSH,0,4700,2,2,2,464,464,,양수,PSH,0,4700,4,4,4,424,424,,양수,PSH,0,4700,3,2,2,464,464,,양수,PSH,0,4700,6,6,6,348,348,,양수,PSH,0,4700,9,6,6,344,344,,양수,PSH,0,4700,8,7,7,371,371,,양수,PSH,0,4700,5,4,4,352,352,,양수,PSH,0,4700,4,3,3,405,405,,양수,PSH,0,4700,12,12,12,372,372,,양수,PSH,0,4700,15,14,14,401,401,
신재생,Renewable,327,16118,615,615,615,2946,2943,,신재생,Renewable,274,16158,607,611,611,2696,2693,,신재생,Renewable,314,16208,666,662,662,3404,3400,,신재생,Renewable,151,16332,813,803,803,3289,3285,,신재생,Renewable,53,16430,575,574,574,3509,3505,,신재생,Renewable,241,16499,802,775,775,3294,3289,,신재생,Renewable,373,16579,1117,1128,1128,3623,3609,,신재생,Renewable,411,16659,876,880,880,3434,3426,,신재생,Renewable,392,16876,726,773,773,3059,3052,,신재생,Renewable,385,16995,724,727,727,2936,2888,,신재생,Renewable,331,17320,600,599,599,2810,2768,,신재생,Renewable,456,17419,757,764,764,3267,3201,
기타,Others,24,5241,58,58,58,232,232,,기타,Others,15,5237,54,54,54,242,242,,기타,Others,12,5229,48,48,48,166,166,,기타,Others,0,5229,43,43,43,265,265,,기타,Others,0,5229,36,36,36,299,299,,기타,Others,0,5229,37,37,37,213,213,,기타,Others,0,5228,39,39,39,234,234,,기타,Others,0,5228,39,38,38,217,217,,기타,Others,0,5228,37,37,37,205,205,,기타,Others,0,5227,39,39,39,192,192,,기타,Others,2,5269,47,47,47,230,230,,기타,Others,16,5267,58,58,58,249,249,
합계,Total,46592,137657,73338,72499,72456,50833,50830,,합계,Total,40378,138261,66825,66179,66153,44197,44195,,합계,Total,41232,138706,63457,62785,62768,45608,45604,,합계,Total,35563,138790,58788,58161,58138,40464,40460,,합계,Total,35979,140452,58874,57885,57854,41161,41156,,합계,Total,38335,142295,61124,59465,59409,43058,43053,,합계,Total,45874,142540,71990,70841,70746,50399,50385,,합계,Total,49854,142724,70963,70185,70134,53902,53894,,합계,Total,42601,142940,66047,64910,64822,46657,46649,,합계,Total,38854,143226,65145,64154,64115,42698,42650,,합계,Total,38685,143681,67512,66375,66342,42674,42633,,합계,Total,44745,143769,76816,75805,75787,48824,48758,
