col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018
6. 계통한계가격(SMP),,,,,,,,,,,,,,,,,
System Marginal Price(Energy Market Price),,,,,,,,,,,,,,,,,
6-1. 연간 월별 통합SMP,,,,,,,,,,,,,,,,,
Yearly Total System Marginal Price by Month,,,,,,,,,,,,,,,,,
구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,가중평균,[단위 : 원/kWh],,,
,January,February,March,April,May,June,July,August,September,October,Novermber,December,Weighed Average,[단위 : Won/kWh],,,
2001,,,,50.91,52.74,51.62,47.88,42.69,44.94,47.22,47.45,56.49,49.11,,,,
2002,58.24,52.38,50.68,46.87,48.36,39.49,40.4,36.4,41.14,46.45,53.99,54.27,47.54,,,,
2003,55.58,55.14,56.66,56.03,57.07,50.6,40.33,38.35,43.21,47.71,51.01,55.87,50.73,,,,
2004,55.02,60.35,60.39,57.27,54.17,52.58,49.99,47.15,50.26,58.89,61.03,63.78,55.97,,,,
2005,67.38,62.89,61.75,52.49,47.26,52.97,55.64,54.42,63.93,64.54,76.34,81.15,62.12,,,,
2006,81.35,82.66,85.5,83.47,81.77,71.77,65.87,74.2,74.8,70.14,87.69,89.64,79.27,,,,
2007,86.48,82.95,88.92,82.62,81.47,81.93,76.15,74.85,72.01,86.5,91.16,97.95,83.84,,,,
2008,105.98,106.7,109.96,110.64,107.8,105.93,117.79,104.58,129.56,144.03,161.29,167.56,122.65,,,,
2009,159.45,161.15,126.36,114.14,93.64,74.13,66.45,75.6,79.85,83.69,104.64,116.84,105.08,,,,
2010,122.53,120.52,120.88,115.48,115.66,114.8,114.51,119.89,116.42,112.01,105.74,131.43,117.77,,,,
2011,132.3,123.47,123.7,117.56,117.78,119.84,119.5,117.09,133.51,123.73,140.63,146.64,126.63,,,,
2012,147.88,159.93,177.53,158.24,171.35,178.16,185.14,160.94,134.01,150.39,139.04,165.46,160.83,,,,
2013,152.14,150.79,152.13,163.33,151.04,158.13,155.29,154.19,136.88,155.8,145.05,149.9,152.1,,,,
2014,143.16,153.63,163.4,151.09,144.61,136.35,142.72,128.6,131.44,132.22,133.78,144.1,142.26,,,,
2015,140.76,121.33,118.35,103.72,96.62,84.54,81.99,88.59,90.98,98.34,94.93,95.46,101.76,,,,
2016,90.77,87.62,87.31,75.38,68.78,65.31,67.06,71.73,71.55,73.48,75.04,86.93,77.06,,,,
2017,86.31,91.07,92.06,75.35,79.14,82.71,76.79,76.4,73.21,72.84,81.48,90.77,81.77,,,,
2018,92.23,90.75,101.47,90.91,87.64,89.79,87.27,91.02,92.87,102.36,105.11,109.95,95.16,,,,
2019,111.28,105.85,112.42,99.44,79.65,78.54,79.76,84.83,79.64,88.21,81.83,84.18,90.74,,,,
2020,84.54,81.91,83.35,75.38,70.91,70.92,71.25,63.01,55.94,50.39,49.8,67.14,68.87,,,,
2021,70.65,75.44,84.22,76.35,79.1,83.11,87.54,94.07,98.77,107.76,127.06,142.81,94.34,,,,
2022,154.42,197.32,192.75,202.11,140.34,129.72,151.85,197.74,233.42,251.65,242.19,267.63,196.65,,,,
2023,240.81,253.56,215.9,164.86,143.64,147.13,153.52,147.22,141.19,137.01,120.85,131.12,167.11,,,,
2024,138.06,119.53,134.47,126.09,126.36,125.99,132.49,145.86,138.85,117.24,112.22,116.6,128.39,,,,
2025,117.13,116.39,113.03,124.58,125.47,118.05,120.39,117.4,112.91,101.53,94.81,90.44,112.72,,,,
2025.1H,104.94,106.28,110.76,115.41,123.87,106.63,116.47,117.89,95.57,92.19,90.82,79.93,105.15,,,,
2H,94.77,95.8,96.55,100.1,109.31,101.31,104.46,104.44,78.58,79.86,79.24,75.2,93.43,,,,
3H,92.84,92.36,93.8,95.24,102.32,96.53,98.61,101.52,77.51,76.13,77.04,73.05,89.89,,,,
4H,90.97,86.38,92.05,95.41,97.19,93.67,93.61,95.38,77.54,75.12,76.54,72.45,87.27,,,,
5H,91.53,89.22,96.07,99.78,99.8,94.48,93.12,93,77.42,75.43,76.72,72.94,88.32,,,,
6H,93.87,94.88,101.96,114.79,107.4,97.02,96.23,93.17,78.58,82.25,80.1,73.42,92.68,,,,
7H,99.53,103.05,107.68,121.03,114.9,102.13,106.28,103.65,84.17,89.93,90.33,74.99,99.61,,,,
8H,113.8,115.86,113.52,127.04,120.94,108.86,113.11,114.99,101.72,98.65,97.05,91.94,109.64,,,,
9H,127.06,127,119.66,131.91,128.34,117.24,120.43,117.17,112.44,104.92,105.64,102.72,117.8,,,,
10H,141.85,139.6,126.11,134.67,131.55,125.26,122.41,120.06,128.75,111.42,103.68,104.29,124.2,,,,
11H,138,142.05,126.29,142.04,135.26,132.51,125.42,122.75,130.21,114.06,104.39,100.66,126.08,,,,
12H,134,131.59,117.86,136.45,133.72,128.37,127.59,121.88,129.72,110.12,98.88,97.1,122.45,,,,
13H,121.2,123.38,110.46,126.83,129.82,125.59,124.55,120.78,122.93,98.06,84.67,89.46,115.34,,,,
14H,122.29,120.33,114.12,131.83,134.34,134.41,130.19,123.64,124.83,108.71,98.13,89.54,119.59,,,,
15H,126.46,124.13,112.67,134.81,136,135.2,132.8,125.64,126.86,106.65,98.05,92.11,121.23,,,,
16H,127.2,125.36,116.01,137.85,136.42,133.22,136.4,126.34,129.05,117.65,101.58,95.27,123.63,,,,
17H,128.45,126.42,115.99,130.83,132.69,127.2,131.08,124.74,126.84,111.33,102.6,98.93,121.56,,,,
18H,127.45,124.29,117.99,132.14,133.99,126.1,131.2,124.86,126.51,113.9,102.98,98.69,121.74,,,,
19H,127.47,124.52,123.02,130.51,134.82,125.74,129.61,126.72,130.27,115.8,105.52,101.12,123.03,,,,
20H,125.81,121.85,122.24,132.55,134.51,126.26,131.6,126.95,130.54,114.44,102.79,103.4,122.98,,,,
21H,121,118.88,119.37,130.21,134.2,124.76,126.5,124.03,126.81,109.62,99.34,97.42,119.55,,,,
22H,115.75,113.94,116.09,127.66,131.36,120.88,122.5,120.05,121.81,105.84,96.49,87.9,115.16,,,,
23H,112.94,113.38,116.44,126.27,128.91,115.6,120.81,120.68,115.85,104.36,94.73,90.65,113.47,,,,
24H,111.07,111.63,114.58,124.33,124.52,109,118.16,118.55,105.92,100.57,94.13,87.83,110.09,,,,
"1) 계통한계가격(SMP)은 2009년까지는 육지와 제주를 구분하지 않고 산정, 2010년 이후부터 육지와 제주를 구분하여 산정하였으며, 2010년 이후 통합SMP는 육지와 제주SMP를 해당 지역의 전력수요예측량으로 가중평균한 값임",,,,,,,,,,,,,,,,,
6-2. 회원사별 SMP 결정횟수,,,,,,,,,,,,,,,,,
Number of Main Land System Marginal Price Set by Members,,,,,,,,,,,,,,,,,
구분,A 회원사,,B 회원사,,C 회원사,,D 회원사,,E 회원사,,F 회원사,,기타,,합계,"[단위 : 횟수, %]",
,Member A,,Member B,,Member C,,Member D,,Member E,,Member F,,Others,,,"[Unit : Number of Times, %]",
,,비율(%),,비율(%),,비율(%),,비율(%),,비율(%),,비율(%),,비율(%),,,
,,Proportion(%),,Proportion(%),,Proportion(%),,Proportion(%),,Proportion(%),,Proportion(%),,Proportion(%),,,
2001,6,0.1,928,14.1,828,12.6,1634,24.8,565,8.6,1063,16.2,1552,23.6,6576,,
2002,11,0.1,1021,11.7,927,10.6,2233,25.5,762,8.7,1732,19.8,2074,23.7,8760,,
2003,20,0.2,1055,12,1298,14.8,1779,20.3,1437,16.4,1103,12.6,2068,23.6,8760,,
2004,1,0.0,1176,13.4,927,10.6,1571,17.9,1471,16.7,1358,15.5,2280,26,8784,,
2005,-,-,669,7.6,1569,17.9,1894,21.6,2033,23.2,1076,12.3,1519,17.3,8760,,
2006,1,0.0,788,9,2214,25.3,1150,13.1,1531,17.5,916,10.5,2160,24.7,8760,,
2007,-,-,582,6.6,1803,20.6,1690,19.3,1429,16.3,858,9.8,2398,27.4,8760,,
2008,-,-,512,5.8,1095,12.5,1205,13.7,1025,11.7,1591,18.1,3356,38.2,8784,,
2009,-,-,443,5.1,821,9.4,1563,17.8,1495,17.1,2225,25.4,2213,25.3,8760,,
2010,-,-,770,8.8,1296,14.8,1830,20.9,1075,12.3,1527,17.4,2262,25.8,8760,,
2011,-,-,572,6.5,1171,13.4,1793,20.5,1207,13.8,1456,16.6,2561,29.2,8760,,
